READINESS,connected_and_synced,YES,waited_ms=2010,terminal_connected=1,bars_m1=100000,synced=1,
section,key,v1,v2,v3,v4,v5,v6
ENV,build,6096,,,,,
ENV,company,MetaQuotes Ltd.,,,,,
ENV,server,MetaQuotes-Demo,10012089985,DEMO,,,
ENV,symbol,EURUSD,5,0.00001000,0.00001000,0,1
ENV,time_now,2026.08.08 01:59:03,2026.08.07 22:59:03,2026.08.07 19:59:03,,,
ENV,offset_server_minus_gmt_h,3,3,auto / used,AUDIT THIS FIRST - DEC-S-001 A-2,,
ENV,ny_offset,-4,FIXED,false=fixed UTC-4; true=coarse Mar..Oct,,,
ENV,windows_ny,180-240,570-650,minutes from NY midnight,,,
WINDOW,RECENT_A,2026.08.06 10:00:00,2026.08.06 11:00:00,15219,0,ny_off=-4,srv_utc=3
METRICS,RECENT_A_flagcounts,15219,11415,12050,0,8246,0
METRICS,RECENT_A_onlyflags,3169,3804,only_bid / only_ask,,,
METRICS,RECENT_A_valuecounts,15219,15219,0,values present (not necessarily updated),,
METRICS,RECENT_A_spread,0.00000,0.00002,0.00000,100.00,pct_ticks_with_spread,
PENETRATION,RECENT_A,1.15410,bidUp=1786010400029,askUp=1786010400029,bidDn=1786013356937,askDn=-1,DIVERGENT
PENETRATION,RECENT_A,1.15413,bidUp=1786010400029,askUp=1786010400029,bidDn=1786013294484,askDn=1786013294484,same
PENETRATION,RECENT_A,1.15416,bidUp=1786010400029,askUp=1786010400029,bidDn=1786013294132,askDn=1786013294132,same
PENETRATION,RECENT_A,1.15419,bidUp=1786010400029,askUp=1786010400029,bidDn=1786013233337,askDn=1786013233339,DIVERGENT
PENETRATION,RECENT_A,1.15421,bidUp=1786010400029,askUp=1786010400029,bidDn=1786013210868,askDn=1786013210925,DIVERGENT
PENETRATION,RECENT_A,1.15424,bidUp=1786010400029,askUp=1786010400029,bidDn=1786010955399,askDn=1786010955399,same
PENETRATION,RECENT_A,1.15427,bidUp=1786010400029,askUp=1786010400029,bidDn=1786010946637,askDn=1786010946637,same
PENETRATION,RECENT_A,1.15430,bidUp=1786010400029,askUp=1786010400029,bidDn=1786010899892,askDn=1786010899892,same
PENETRATION,RECENT_A,1.15433,bidUp=1786010400029,askUp=1786010400029,bidDn=1786010893791,askDn=1786010894338,DIVERGENT
PENETRATION,RECENT_A,1.15436,bidUp=1786010400029,askUp=1786010400029,bidDn=1786010579914,askDn=1786010579914,same
PENETRATION,RECENT_A,1.15439,bidUp=1786010400029,askUp=1786010400029,bidDn=1786010579217,askDn=1786010579265,DIVERGENT
PENETRATION,RECENT_A,1.15441,bidUp=1786010400029,askUp=1786010400029,bidDn=1786010546910,askDn=1786010547426,DIVERGENT
PENETRATION,RECENT_A,1.15444,bidUp=1786010400029,askUp=1786010400029,bidDn=1786010545651,askDn=1786010545651,same
