sample,price_field,m1_open_time,ny_time,m1_open,m1_high,m1_low,m1_close,tick_count,first_high_tick_time,first_low_tick_time,high_before_low,low_before_high,same_tick,order_reconstructable,bid_available,ask_available,last_available,note
RANDOM,BID,2026.07.24 17:07:00,2026.07.24 10:07:00,1.13727,1.13735,1.13722,1.13722,277,1784912843655,1784912867460,1,0,0,1,1,1,0,
RANDOM,ASK,2026.07.24 17:07:00,2026.07.24 10:07:00,1.13727,1.13735,1.13722,1.13722,277,1784912843655,1784912867599,1,0,0,1,1,1,0,
RANDOM,BID,2026.08.07 17:20:00,2026.08.07 10:20:00,1.15630,1.15642,1.15620,1.15636,412,1786123240780,1786123210907,0,1,0,1,1,1,0,
RANDOM,ASK,2026.08.07 17:20:00,2026.08.07 10:20:00,1.15630,1.15642,1.15620,1.15636,412,1786123240780,1786123210907,0,1,0,1,1,1,0,
RANDOM,BID,2026.08.07 10:45:00,2026.08.07 03:45:00,1.15203,1.15209,1.15201,1.15207,128,1786099558336,1786099500216,0,1,0,1,1,1,0,
RANDOM,ASK,2026.08.07 10:45:00,2026.08.07 03:45:00,1.15203,1.15209,1.15201,1.15207,128,1786099558336,1786099500221,0,1,0,1,1,1,0,
RANDOM,BID,2026.07.23 16:31:00,2026.07.23 09:31:00,1.13781,1.13796,1.13774,1.13791,432,1784824308976,1784824276705,0,1,0,1,1,1,0,
RANDOM,ASK,2026.07.23 16:31:00,2026.07.23 09:31:00,1.13781,1.13796,1.13774,1.13791,432,1784824308976,1784824276705,0,1,0,1,1,1,0,
RANDOM,BID,2026.07.28 17:01:00,2026.07.28 10:01:00,1.13723,1.13725,1.13715,1.13719,246,1785258060232,1785258094806,1,0,0,1,1,1,0,
RANDOM,ASK,2026.07.28 17:01:00,2026.07.28 10:01:00,1.13723,1.13725,1.13715,1.13719,246,1785258060232,1785258094806,1,0,0,1,1,1,0,
RANDOM,BID,2026.07.21 16:46:00,2026.07.21 09:46:00,1.14063,1.14075,1.14062,1.14070,419,1784652415142,1784652361902,0,1,0,1,1,1,0,
RANDOM,ASK,2026.07.21 16:46:00,2026.07.21 09:46:00,1.14063,1.14075,1.14062,1.14070,419,1784652415061,1784652361902,0,1,0,1,1,1,0,
RANDOM,BID,2026.07.14 10:59:00,2026.07.14 03:59:00,1.13948,1.13961,1.13947,1.13959,310,1784026796369,1784026740184,0,1,0,1,1,1,0,
RANDOM,ASK,2026.07.14 10:59:00,2026.07.14 03:59:00,1.13948,1.13961,1.13947,1.13959,310,1784026768586,1784026740802,0,1,0,1,1,1,0,
RANDOM,BID,2026.07.24 10:22:00,2026.07.24 03:22:00,1.13945,1.13950,1.13932,1.13941,273,1784888567218,1784888544155,0,1,0,1,1,1,0,
