seq,event_id,kind,t_occurred,t_known,price1,price2,running_hash
1,ZONE_EURUSD_5_1783556100,ZONE,2026.07.09 00:15:00,2026.07.09 00:20:00,1.14218,1.14168,12396969716324364407
2,LINE_EURUSD_5_1783557600,LINE,2026.07.09 00:40:00,2026.07.09 00:45:00,1.14173,1.14148,1308509663801684320
3,MARK_EURUSD_5_1783559100,MARK,2026.07.09 01:05:00,2026.07.09 01:10:00,1.14175,1.14161,15473824810131613950
4,LEVEL_EURUSD_5_1783560600,LEVEL,2026.07.09 01:30:00,2026.07.09 01:35:00,1.14184,1.14168,12693486349474458323
5,ZONE_EURUSD_5_1783562100,ZONE,2026.07.09 01:55:00,2026.07.09 02:00:00,1.14195,1.14177,6081878279224645020
6,LINE_EURUSD_5_1783563600,LINE,2026.07.09 02:20:00,2026.07.09 02:25:00,1.14184,1.14171,4172142626086744194
7,MARK_EURUSD_5_1783565100,MARK,2026.07.09 02:45:00,2026.07.09 02:50:00,1.14215,1.14202,5036299685289041244
8,LEVEL_EURUSD_5_1783566600,LEVEL,2026.07.09 03:10:00,2026.07.09 03:15:00,1.14290,1.14253,2744192732638546508
9,ZONE_EURUSD_5_1783568100,ZONE,2026.07.09 03:35:00,2026.07.09 03:40:00,1.14300,1.14288,3960463316072389040
10,LINE_EURUSD_5_1783569600,LINE,2026.07.09 04:00:00,2026.07.09 04:05:00,1.14275,1.14241,14232507838995949568
11,MARK_EURUSD_5_1783571100,MARK,2026.07.09 04:25:00,2026.07.09 04:30:00,1.14239,1.14208,8680393291123258230
12,LEVEL_EURUSD_5_1783572600,LEVEL,2026.07.09 04:50:00,2026.07.09 04:55:00,1.14230,1.14216,2548917277222999097
13,ZONE_EURUSD_5_1783574100,ZONE,2026.07.09 05:15:00,2026.07.09 05:20:00,1.14285,1.14268,16879460885544275527
14,LINE_EURUSD_5_1783575600,LINE,2026.07.09 05:40:00,2026.07.09 05:45:00,1.14253,1.14237,9078685232134336153
15,MARK_EURUSD_5_1783577100,MARK,2026.07.09 06:05:00,2026.07.09 06:10:00,1.14262,1.14251,11754712597137042299
16,LEVEL_EURUSD_5_1783578600,LEVEL,2026.07.09 06:30:00,2026.07.09 06:35:00,1.14304,1.14260,2985739868709630699
17,ZONE_EURUSD_5_1783580100,ZONE,2026.07.09 06:55:00,2026.07.09 07:00:00,1.14286,1.14264,18210246822777848721
18,LINE_EURUSD_5_1783581600,LINE,2026.07.09 07:20:00,2026.07.09 07:25:00,1.14259,1.14231,14498331098132316002
19,MARK_EURUSD_5_1783583100,MARK,2026.07.09 07:45:00,2026.07.09 07:50:00,1.14264,1.14252,10553645577390329286
20,LEVEL_EURUSD_5_1783584600,LEVEL,2026.07.09 08:10:00,2026.07.09 08:15:00,1.14341,1.14260,9264666772215983807
21,ZONE_EURUSD_5_1783586100,ZONE,2026.07.09 08:35:00,2026.07.09 08:40:00,1.14335,1.14318,1508765053472736779
22,LINE_EURUSD_5_1783587600,LINE,2026.07.09 09:00:00,2026.07.09 09:05:00,1.14370,1.14308,8998752052718243586
23,MARK_EURUSD_5_1783589100,MARK,2026.07.09 09:25:00,2026.07.09 09:30:00,1.14477,1.14435,8528563212411979510
24,LEVEL_EURUSD_5_1783590600,LEVEL,2026.07.09 09:50:00,2026.07.09 09:55:00,1.14448,1.14404,1424216493711061744
25,ZONE_EURUSD_5_1783592100,ZONE,2026.07.09 10:15:00,2026.07.09 10:20:00,1.14393,1.14347,8749166862168888555
26,LINE_EURUSD_5_1783593600,LINE,2026.07.09 10:40:00,2026.07.09 10:45:00,1.14370,1.14346,4665792110225685055
27,MARK_EURUSD_5_1783595100,MARK,2026.07.09 11:05:00,2026.07.09 11:10:00,1.14381,1.14342,17858855874559532195
28,LEVEL_EURUSD_5_1783596600,LEVEL,2026.07.09 11:30:00,2026.07.09 11:35:00,1.14373,1.14337,6385382266029514723
29,ZONE_EURUSD_5_1783598100,ZONE,2026.07.09 11:55:00,2026.07.09 12:00:00,1.14308,1.14250,11422185783032439061
30,LINE_EURUSD_5_1783599600,LINE,2026.07.09 12:20:00,2026.07.09 12:25:00,1.14285,1.14260,864225079085181216
31,MARK_EURUSD_5_1783601100,MARK,2026.07.09 12:45:00,2026.07.09 12:50:00,1.14278,1.14251,13129139780250835463
32,LEVEL_EURUSD_5_1783602600,LEVEL,2026.07.09 13:10:00,2026.07.09 13:15:00,1.14297,1.14281,15189324706261299431
33,ZONE_EURUSD_5_1783604100,ZONE,2026.07.09 13:35:00,2026.07.09 13:40:00,1.14318,1.14287,2385936900767079927
34,LINE_EURUSD_5_1783605600,LINE,2026.07.09 14:00:00,2026.07.09 14:05:00,1.14248,1.14220,16807372505907735949
35,MARK_EURUSD_5_1783607100,MARK,2026.07.09 14:25:00,2026.07.09 14:30:00,1.14253,1.14231,11199516117598841729
36,LEVEL_EURUSD_5_1783608600,LEVEL,2026.07.09 14:50:00,2026.07.09 14:55:00,1.14299,1.14249,14904000721933048281
37,ZONE_EURUSD_5_1783610100,ZONE,2026.07.09 15:15:00,2026.07.09 15:20:00,1.14352,1.14337,9667728067261216980
38,LINE_EURUSD_5_1783611600,LINE,2026.07.09 15:40:00,2026.07.09 15:45:00,1.14314,1.14268,17684237661352438931
39,MARK_EURUSD_5_1783613100,MARK,2026.07.09 16:05:00,2026.07.09 16:10:00,1.14307,1.14255,10249460128275147384
40,LEVEL_EURUSD_5_1783614600,LEVEL,2026.07.09 16:30:00,2026.07.09 16:35:00,1.14368,1.14315,3697599662196819989
41,ZONE_EURUSD_5_1783616100,ZONE,2026.07.09 16:55:00,2026.07.09 17:00:00,1.14393,1.14360,10736405468786394536
42,LINE_EURUSD_5_1783617600,LINE,2026.07.09 17:20:00,2026.07.09 17:25:00,1.14411,1.14368,7671196841575961509
43,MARK_EURUSD_5_1783619100,MARK,2026.07.09 17:45:00,2026.07.09 17:50:00,1.14371,1.14349,4257895127101594678
44,LEVEL_EURUSD_5_1783620600,LEVEL,2026.07.09 18:10:00,2026.07.09 18:15:00,1.14362,1.14306,8502536819039794714
45,ZONE_EURUSD_5_1783622100,ZONE,2026.07.09 18:35:00,2026.07.09 18:40:00,1.14335,1.14312,12006600365729305359
46,LINE_EURUSD_5_1783623600,LINE,2026.07.09 19:00:00,2026.07.09 19:05:00,1.14405,1.14386,16794168833923966002
47,MARK_EURUSD_5_1783625100,MARK,2026.07.09 19:25:00,2026.07.09 19:30:00,1.14384,1.14360,3622745924226755949
48,LEVEL_EURUSD_5_1783626600,LEVEL,2026.07.09 19:50:00,2026.07.09 19:55:00,1.14401,1.14384,13711789203196329399
49,ZONE_EURUSD_5_1783628100,ZONE,2026.07.09 20:15:00,2026.07.09 20:20:00,1.14398,1.14352,9388485065565222377
50,LINE_EURUSD_5_1783629600,LINE,2026.07.09 20:40:00,2026.07.09 20:45:00,1.14371,1.14348,7633397556874783101
51,MARK_EURUSD_5_1783631100,MARK,2026.07.09 21:05:00,2026.07.09 21:10:00,1.14372,1.14354,3077149906218509352
52,LEVEL_EURUSD_5_1783632600,LEVEL,2026.07.09 21:30:00,2026.07.09 21:35:00,1.14334,1.14318,9865543778625707720
53,ZONE_EURUSD_5_1783634100,ZONE,2026.07.09 21:55:00,2026.07.09 22:00:00,1.14342,1.14333,1069619701634420144
54,LINE_EURUSD_5_1783635600,LINE,2026.07.09 22:20:00,2026.07.09 22:25:00,1.14325,1.14301,16950047923747972029
55,MARK_EURUSD_5_1783637100,MARK,2026.07.09 22:45:00,2026.07.09 22:50:00,1.14277,1.14265,12240452608702214605
