bar_time,ticks_in_bar,open,high,low,idx_high,idx_low,order,running_hash
2026.07.09 00:00:00,21,1.14167,1.14180,1.14127,3,16,HIGH_FIRST,3104739499556184341
2026.07.09 00:01:00,25,1.14180,1.14183,1.14175,10,15,HIGH_FIRST,3531728632840497342
2026.07.09 00:02:00,12,1.14181,1.14187,1.14130,2,10,HIGH_FIRST,17077521740175859478
2026.07.09 00:03:00,22,1.14185,1.14187,1.13987,4,14,HIGH_FIRST,15702137317862407957
2026.07.09 00:04:00,28,1.14197,1.14236,1.14129,2,8,HIGH_FIRST,8066529963316609318
2026.07.09 00:05:00,9,1.14179,1.14181,1.14146,5,7,HIGH_FIRST,18258396608835788879
2026.07.09 00:06:00,57,1.14146,1.14182,1.14146,3,0,LOW_FIRST,6330025540188539834
2026.07.09 00:07:00,30,1.14175,1.14178,1.14157,9,3,LOW_FIRST,12073274128881192222
2026.07.09 00:08:00,38,1.14162,1.14196,1.14156,12,19,HIGH_FIRST,17098081907731068131
2026.07.09 00:09:00,8,1.14171,1.14199,1.14168,7,2,LOW_FIRST,15301835301412721520
2026.07.09 00:10:00,42,1.14206,1.14207,1.14185,14,32,HIGH_FIRST,8888503404805709691
2026.07.09 00:11:00,27,1.14190,1.14215,1.14190,5,0,LOW_FIRST,8097712477574677558
2026.07.09 00:12:00,18,1.14197,1.14200,1.14193,10,17,HIGH_FIRST,13098438731786364710
2026.07.09 00:13:00,20,1.14196,1.14204,1.14190,19,9,LOW_FIRST,13225499736443359963
2026.07.09 00:14:00,27,1.14200,1.14216,1.14198,6,26,HIGH_FIRST,2443400850842235842
2026.07.09 00:15:00,8,1.14200,1.14211,1.14198,8,2,LOW_FIRST,13406193136965339029
2026.07.09 00:16:00,63,1.14211,1.14211,1.14168,0,28,HIGH_FIRST,8220687944261702407
2026.07.09 00:17:00,97,1.14207,1.14208,1.14184,3,21,HIGH_FIRST,4181698853177940725
