bar_time,ticks_in_bar,open,high,low,idx_high,idx_low,order,running_hash
2026.07.09 00:00:00,66,1.14167,1.14236,1.13987,57,47,LOW_FIRST,9832378838611217919
2026.07.09 00:05:00,91,1.14179,1.14199,1.14146,91,2,LOW_FIRST,7274210933230550131
2026.07.09 00:10:00,106,1.14206,1.14216,1.14185,90,25,LOW_FIRST,9401514666553691145
2026.07.09 00:15:00,183,1.14200,1.14218,1.14168,140,29,LOW_FIRST,8841682667991060428
2026.07.09 00:20:00,72,1.14186,1.14200,1.14174,45,35,LOW_FIRST,16539187527983018224
2026.07.09 00:25:00,34,1.14195,1.14202,1.14182,32,9,LOW_FIRST,13776035873696989216
2026.07.09 00:30:00,120,1.14201,1.14202,1.14165,3,109,HIGH_FIRST,18411044748248249237
2026.07.09 00:35:00,121,1.14178,1.14184,1.14147,7,68,HIGH_FIRST,2646961332184963072
2026.07.09 00:40:00,56,1.14162,1.14173,1.14148,25,43,HIGH_FIRST,18253692807517987176
2026.07.09 00:45:00,69,1.14167,1.14174,1.14123,5,59,HIGH_FIRST,1656821498897592396
2026.07.09 00:50:00,60,1.14168,1.14178,1.14146,30,8,LOW_FIRST,12756642038433684943
2026.07.09 00:55:00,83,1.14165,1.14181,1.14164,79,48,LOW_FIRST,10330616837130951343
2026.07.09 01:00:00,243,1.14175,1.14188,1.14161,73,243,HIGH_FIRST,12262953591100158453
2026.07.09 01:05:00,138,1.14161,1.14175,1.14161,71,0,LOW_FIRST,7195905728877729323
2026.07.09 01:10:00,130,1.14168,1.14181,1.14166,61,3,LOW_FIRST,14963262370658290884
2026.07.09 01:15:00,327,1.14170,1.14175,1.14162,13,155,HIGH_FIRST,339232150312560855
2026.07.09 01:20:00,264,1.14172,1.14173,1.14160,3,22,HIGH_FIRST,5770692507985743769
2026.07.09 01:25:00,234,1.14167,1.14174,1.14166,47,219,HIGH_FIRST,17471681801034807497
2026.07.09 01:30:00,422,1.14168,1.14184,1.14168,394,0,LOW_FIRST,1118484658759641938
2026.07.09 01:35:00,279,1.14184,1.14189,1.14178,87,36,LOW_FIRST,6592871418127579684
2026.07.09 01:40:00,249,1.14183,1.14189,1.14182,144,9,LOW_FIRST,5045080909896422683
2026.07.09 01:45:00,223,1.14182,1.14185,1.14179,16,41,HIGH_FIRST,17797736038274352269
2026.07.09 01:50:00,242,1.14182,1.14186,1.14178,73,226,HIGH_FIRST,16346927084173990175
2026.07.09 01:55:00,284,1.14181,1.14195,1.14177,250,57,LOW_FIRST,9216944479250034048
2026.07.09 02:00:00,188,1.14192,1.14198,1.14187,139,16,LOW_FIRST,14444334338333223108
2026.07.09 02:05:00,127,1.14190,1.14197,1.14179,14,115,HIGH_FIRST,6954697869639779484
2026.07.09 02:10:00,132,1.14182,1.14183,1.14176,2,25,HIGH_FIRST,15293789080850426327
2026.07.09 02:15:00,125,1.14178,1.14181,1.14171,32,84,HIGH_FIRST,10178389273608919023
2026.07.09 02:20:00,197,1.14177,1.14184,1.14171,103,24,LOW_FIRST,493170606226592054
2026.07.09 02:25:00,205,1.14178,1.14187,1.14170,111,150,HIGH_FIRST,11258582926840249415
2026.07.09 02:30:00,284,1.14185,1.14193,1.14180,219,117,LOW_FIRST,16583452100086319661
2026.07.09 02:35:00,329,1.14189,1.14202,1.14187,78,241,HIGH_FIRST,5838078968212529619
2026.07.09 02:40:00,277,1.14195,1.14209,1.14191,253,16,LOW_FIRST,6213695548450397845
2026.07.09 02:45:00,330,1.14205,1.14215,1.14202,63,9,LOW_FIRST,10995066533388750670
2026.07.09 02:50:00,365,1.14210,1.14211,1.14191,11,280,HIGH_FIRST,2966792808200838516
2026.07.09 02:55:00,481,1.14205,1.14225,1.14201,247,22,LOW_FIRST,7547244618845497145
2026.07.09 03:00:00,977,1.14213,1.14243,1.14211,934,22,LOW_FIRST,4022420623791418847
2026.07.09 03:05:00,625,1.14241,1.14265,1.14239,360,16,LOW_FIRST,14612021125323953566
2026.07.09 03:10:00,792,1.14254,1.14290,1.14253,501,2,LOW_FIRST,12724792771938972563
2026.07.09 03:15:00,675,1.14279,1.14286,1.14259,95,658,HIGH_FIRST,7042176499323736496
2026.07.09 03:20:00,757,1.14263,1.14274,1.14252,137,489,HIGH_FIRST,15980236551683952005
2026.07.09 03:25:00,678,1.14266,1.14280,1.14264,626,13,LOW_FIRST,10695667133502741899
2026.07.09 03:30:00,885,1.14276,1.14304,1.14272,688,440,LOW_FIRST,1497675930281855248
2026.07.09 03:35:00,465,1.14293,1.14300,1.14288,214,89,LOW_FIRST,1171736854878208977
2026.07.09 03:40:00,473,1.14289,1.14296,1.14252,105,441,HIGH_FIRST,12560949795082630471
2026.07.09 03:45:00,610,1.14266,1.14271,1.14255,477,245,LOW_FIRST,9893056792630859203
2026.07.09 03:50:00,819,1.14260,1.14264,1.14231,12,760,HIGH_FIRST,14055814787578858707
2026.07.09 03:55:00,783,1.14234,1.14262,1.14230,566,58,LOW_FIRST,3020959572834596656
2026.07.09 04:00:00,1041,1.14257,1.14275,1.14241,408,778,HIGH_FIRST,2802748140539366504
2026.07.09 04:05:00,758,1.14246,1.14258,1.14236,698,89,LOW_FIRST,1937760859665807905
2026.07.09 04:10:00,753,1.14255,1.14258,1.14226,18,677,HIGH_FIRST,7915847079794096053
2026.07.09 04:15:00,715,1.14230,1.14244,1.14227,127,17,LOW_FIRST,17534825485724966875
2026.07.09 04:20:00,694,1.14240,1.14248,1.14229,52,325,HIGH_FIRST,10311388442328723981
2026.07.09 04:25:00,433,1.14235,1.14239,1.14208,166,409,HIGH_FIRST,16269461406641307465
2026.07.09 04:30:00,699,1.14218,1.14228,1.14199,655,235,LOW_FIRST,10484664859272091280
2026.07.09 04:35:00,675,1.14225,1.14256,1.14223,532,13,LOW_FIRST,13510947454090122152
2026.07.09 04:40:00,663,1.14241,1.14242,1.14228,293,555,HIGH_FIRST,14232388383968680938
2026.07.09 04:45:00,588,1.14236,1.14236,1.14208,0,345,HIGH_FIRST,14631727339183651170
2026.07.09 04:50:00,614,1.14226,1.14230,1.14216,80,442,HIGH_FIRST,14460257579217969551
2026.07.09 04:55:00,867,1.14222,1.14263,1.14222,799,0,LOW_FIRST,1494003231853066436
2026.07.09 05:00:00,905,1.14256,1.14274,1.14255,866,23,LOW_FIRST,3779545500716609868
2026.07.09 05:05:00,812,1.14268,1.14284,1.14260,568,290,LOW_FIRST,3745436569775655507
2026.07.09 05:10:00,644,1.14271,1.14279,1.14258,96,409,HIGH_FIRST,13747378949867609234
2026.07.09 05:15:00,574,1.14273,1.14285,1.14268,200,46,LOW_FIRST,10152192309807571991
2026.07.09 05:20:00,518,1.14273,1.14276,1.14266,10,172,HIGH_FIRST,12331430182917461892
2026.07.09 05:25:00,654,1.14269,1.14275,1.14257,28,146,HIGH_FIRST,16083079718102040915
