bar_time,ticks_in_bar,open,high,low,idx_high,idx_low,order,running_hash
2026.07.09 00:00:00,20,1.14167,1.14236,1.13987,18,15,LOW_FIRST,14636213005109570301
2026.07.09 00:05:00,20,1.14179,1.14199,1.14146,19,2,LOW_FIRST,12145089188923227953
2026.07.09 00:10:00,20,1.14206,1.14216,1.14185,18,3,LOW_FIRST,5689433743584468622
2026.07.09 00:15:00,20,1.14200,1.14218,1.14168,18,7,LOW_FIRST,16089447227445464025
2026.07.09 00:20:00,20,1.14186,1.14200,1.14174,7,6,LOW_FIRST,3101717737411519526
2026.07.09 00:25:00,17,1.14195,1.14202,1.14182,16,3,LOW_FIRST,9806944495150774679
2026.07.09 00:30:00,20,1.14201,1.14202,1.14165,2,19,HIGH_FIRST,12970852107385748134
2026.07.09 00:35:00,20,1.14178,1.14184,1.14147,2,10,HIGH_FIRST,13026951465002329331
2026.07.09 00:40:00,20,1.14162,1.14173,1.14148,7,14,HIGH_FIRST,327765786042212802
2026.07.09 00:45:00,20,1.14167,1.14174,1.14123,2,18,HIGH_FIRST,1198354400307784333
2026.07.09 00:50:00,20,1.14168,1.14178,1.14146,11,6,LOW_FIRST,4897653433655329937
2026.07.09 00:55:00,20,1.14165,1.14181,1.14164,19,14,LOW_FIRST,13633357993729763029
2026.07.09 01:00:00,20,1.14175,1.14188,1.14161,3,19,HIGH_FIRST,12102101762639612090
2026.07.09 01:05:00,20,1.14161,1.14175,1.14161,7,0,LOW_FIRST,312289000678982213
2026.07.09 01:10:00,20,1.14168,1.14181,1.14166,7,2,LOW_FIRST,8844564166257681063
2026.07.09 01:15:00,20,1.14170,1.14175,1.14162,2,11,HIGH_FIRST,840732329627393579
2026.07.09 01:20:00,20,1.14172,1.14173,1.14160,2,3,HIGH_FIRST,9225637626148254271
2026.07.09 01:25:00,20,1.14167,1.14174,1.14166,6,19,HIGH_FIRST,15700873095186306939
2026.07.09 01:30:00,20,1.14168,1.14184,1.14168,19,0,LOW_FIRST,17482531617630567516
2026.07.09 01:35:00,20,1.14184,1.14189,1.14178,7,3,LOW_FIRST,10594903402155491790
2026.07.09 01:40:00,20,1.14183,1.14189,1.14182,11,2,LOW_FIRST,1437515259076050878
2026.07.09 01:45:00,20,1.14182,1.14185,1.14179,2,3,HIGH_FIRST,16485257769245287680
2026.07.09 01:50:00,20,1.14182,1.14186,1.14178,6,19,HIGH_FIRST,3502814954908205622
2026.07.09 01:55:00,20,1.14181,1.14195,1.14177,19,3,LOW_FIRST,12836799485892208191
2026.07.09 02:00:00,20,1.14192,1.14198,1.14187,14,2,LOW_FIRST,12052811666348250361
2026.07.09 02:05:00,20,1.14190,1.14197,1.14179,3,19,HIGH_FIRST,4652481452412325316
2026.07.09 02:10:00,20,1.14182,1.14183,1.14176,2,3,HIGH_FIRST,1641361547152611567
2026.07.09 02:15:00,20,1.14178,1.14181,1.14171,6,11,HIGH_FIRST,4394965240269353650
2026.07.09 02:20:00,20,1.14177,1.14184,1.14171,10,3,LOW_FIRST,38103184288941644
