bar_time,ticks_in_bar,open,high,low,idx_high,idx_low,order,running_hash
2026.07.09 00:00:00,108,1.14167,1.14236,1.13987,82,72,LOW_FIRST,1216361606298017360
2026.07.09 00:05:00,142,1.14179,1.14199,1.14146,141,7,LOW_FIRST,2910205567389245646
2026.07.09 00:10:00,134,1.14206,1.14216,1.14185,113,32,LOW_FIRST,12357299437080054359
2026.07.09 00:15:00,254,1.14200,1.14218,1.14168,223,36,LOW_FIRST,12968066556122320691
2026.07.09 00:20:00,108,1.14186,1.14200,1.14174,80,63,LOW_FIRST,7422268417843201765
2026.07.09 00:25:00,54,1.14195,1.14202,1.14182,41,8,LOW_FIRST,1157555738246114218
2026.07.09 00:30:00,178,1.14201,1.14202,1.14165,13,152,HIGH_FIRST,1576883880009810855
2026.07.09 00:35:00,215,1.14178,1.14184,1.14147,21,115,HIGH_FIRST,16210675562979989711
2026.07.09 00:40:00,66,1.14162,1.14173,1.14148,22,52,HIGH_FIRST,5515239567136966845
2026.07.09 00:45:00,119,1.14167,1.14174,1.14123,7,117,HIGH_FIRST,7246410039923861222
2026.07.09 00:50:00,74,1.14168,1.14178,1.14146,30,14,LOW_FIRST,15006811574072113089
2026.07.09 00:55:00,109,1.14165,1.14181,1.14164,92,79,LOW_FIRST,16734726901932399651
2026.07.09 01:00:00,284,1.14175,1.14188,1.14161,3,269,HIGH_FIRST,3894246846538830209
2026.07.09 01:05:00,152,1.14161,1.14175,1.14161,70,0,LOW_FIRST,5231349424991334528
2026.07.09 01:10:00,152,1.14168,1.14181,1.14166,84,4,LOW_FIRST,230433661019217485
2026.07.09 01:15:00,365,1.14170,1.14175,1.14162,5,131,HIGH_FIRST,16125834116884874171
2026.07.09 01:20:00,322,1.14172,1.14173,1.14160,2,17,HIGH_FIRST,12030188818407000967
2026.07.09 01:25:00,338,1.14167,1.14174,1.14166,81,298,HIGH_FIRST,10077036516410420119
2026.07.09 01:30:00,500,1.14168,1.14184,1.14168,450,0,LOW_FIRST,6495882873237873130
2026.07.09 01:35:00,372,1.14184,1.14189,1.14178,124,73,LOW_FIRST,12075795289437753103
2026.07.09 01:40:00,344,1.14183,1.14189,1.14182,180,7,LOW_FIRST,6820724787170268854
2026.07.09 01:45:00,272,1.14182,1.14185,1.14179,5,27,HIGH_FIRST,3396356110329923922
2026.07.09 01:50:00,319,1.14182,1.14186,1.14178,99,318,HIGH_FIRST,12118742550652519829
2026.07.09 01:55:00,331,1.14181,1.14195,1.14177,228,85,LOW_FIRST,13331211317516439925
2026.07.09 02:00:00,289,1.14192,1.14198,1.14187,211,41,LOW_FIRST,16420510640272665608
2026.07.09 02:05:00,179,1.14190,1.14197,1.14179,11,157,HIGH_FIRST,17616739601840284312
2026.07.09 02:10:00,178,1.14182,1.14183,1.14176,2,36,HIGH_FIRST,9121158412330296365
2026.07.09 02:15:00,178,1.14178,1.14181,1.14171,49,116,HIGH_FIRST,4245911396455034249
2026.07.09 02:20:00,250,1.14177,1.14184,1.14171,124,46,LOW_FIRST,10200746572511456117
2026.07.09 02:25:00,241,1.14178,1.14187,1.14170,142,236,HIGH_FIRST,10749418118460652469
2026.07.09 02:30:00,318,1.14185,1.14193,1.14180,205,143,LOW_FIRST,5424933468675975693
2026.07.09 02:35:00,386,1.14189,1.14202,1.14187,113,287,HIGH_FIRST,2774363960643232432
2026.07.09 02:40:00,322,1.14195,1.14209,1.14191,282,23,LOW_FIRST,7291977461945426657
2026.07.09 02:45:00,385,1.14205,1.14215,1.14202,27,7,LOW_FIRST,1546368903202184364
2026.07.09 02:50:00,431,1.14210,1.14211,1.14191,5,307,HIGH_FIRST,8381880844198712285
2026.07.09 02:55:00,627,1.14205,1.14225,1.14201,265,42,LOW_FIRST,11011202744531149254
2026.07.09 03:00:00,1246,1.14213,1.14243,1.14211,1184,163,LOW_FIRST,12227450309542557756
2026.07.09 03:05:00,798,1.14241,1.14265,1.14239,406,8,LOW_FIRST,17379321726182273728
2026.07.09 03:10:00,1028,1.14254,1.14290,1.14253,606,25,LOW_FIRST,11443979945498849189
2026.07.09 03:15:00,906,1.14279,1.14286,1.14259,68,892,HIGH_FIRST,2596964885323870525
2026.07.09 03:20:00,979,1.14263,1.14274,1.14252,225,692,HIGH_FIRST,8309331977677887860
2026.07.09 03:25:00,890,1.14266,1.14280,1.14264,835,160,LOW_FIRST,7905520639155078693
2026.07.09 03:30:00,1105,1.14276,1.14304,1.14272,814,608,LOW_FIRST,11171433865153996809
2026.07.09 03:35:00,667,1.14293,1.14300,1.14288,246,46,LOW_FIRST,11666792490413201942
2026.07.09 03:40:00,696,1.14289,1.14296,1.14252,191,662,HIGH_FIRST,13491876111536170423
2026.07.09 03:45:00,822,1.14266,1.14271,1.14255,647,372,LOW_FIRST,6105994116454578152
2026.07.09 03:50:00,970,1.14260,1.14264,1.14231,4,953,HIGH_FIRST,15261512169564579609
