seq,time,event,detail
0,2026.07.06 00:00:00,INIT,tradingEnabled=true balance=10000.00
1,2026.07.06 01:15:00,PATTERN_DETECTED,ref=1.14356 l2=1.14343 c2=1.14355 c3=1.14358 t3=2026.07.06 01:10:00 rule=A_prime_K3_strict_left
2,2026.07.06 01:15:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
3,2026.07.06 01:20:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
4,2026.07.06 02:15:00,PATTERN_DETECTED,ref=1.14345 l2=1.14335 c2=1.14336 c3=1.14344 t3=2026.07.06 02:10:00 rule=A_prime_K3_strict_left
5,2026.07.06 02:15:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
6,2026.07.06 02:20:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
7,2026.07.06 04:30:00,PATTERN_DETECTED,ref=1.14342 l2=1.14316 c2=1.14329 c3=1.14317 t3=2026.07.06 04:25:00 rule=A_prime_K3_strict_left
8,2026.07.06 04:30:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
9,2026.07.06 04:35:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
10,2026.07.06 05:05:00,PATTERN_DETECTED,ref=1.14294 l2=1.14284 c2=1.14288 c3=1.14297 t3=2026.07.06 05:00:00 rule=A_prime_K3_strict_left
11,2026.07.06 05:05:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
12,2026.07.06 05:10:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
13,2026.07.06 06:40:00,PATTERN_DETECTED,ref=1.14291 l2=1.14280 c2=1.14286 c3=1.14298 t3=2026.07.06 06:35:00 rule=A_prime_K3_strict_left
14,2026.07.06 06:40:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
15,2026.07.06 06:45:00,ENTRY,id=1 entry=1.14314 c3close=1.14298 gap_pts=16.0 sl=1.14279 tp=1.14384 vol=2.85 risk=99.75 tv=SYMBOL_TRADE_TICK_VALUE
16,2026.07.06 08:15:00,PATTERN_DETECTED,ref=1.14299 l2=1.14285 c2=1.14288 c3=1.14299 t3=2026.07.06 08:10:00 rule=A_prime_K3_strict_left
17,2026.07.06 08:15:00,SKIPPED_POSITION_OPEN,max positions=1
18,2026.07.06 08:22:03,EXIT,id=1 reason=STOP exit=1.14276 pnl=-108.30 R=-1.086 bal=9891.70
19,2026.07.06 11:20:00,PATTERN_DETECTED,ref=1.14211 l2=1.14158 c2=1.14192 c3=1.14176 t3=2026.07.06 11:15:00 rule=A_prime_K3_strict_left
20,2026.07.06 11:20:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
21,2026.07.06 11:25:00,ENTRY,id=2 entry=1.14176 c3close=1.14176 gap_pts=0.0 sl=1.14157 tp=1.14214 vol=5.20 risk=98.80 tv=SYMBOL_TRADE_TICK_VALUE
