signal_id,direction,reference_price,candle_1,candle_2,candle_3,sweep_price,rejection_price,confirmation_status,c3_close,entry_time,entry_price,exec_gap_points,stop_price,target_price,volume,risk_money,planned_R,exit_time,exit_price,exit_reason,realized_PnL,R_multiple,ref_rule,spec_id
1,BUY,1.14299,2026.07.06 08:00:00,2026.07.06 08:05:00,2026.07.06 08:10:00,1.14285,1.14299,BLOCKED(DEC-044),1.14298,2026.07.06 06:45:00,1.14314,16.0,1.14279,1.14384,2.85,99.75,2.00,2026.07.06 08:22:03,1.14276,STOP,-108.30,-1.086,A_prime_K3_strict_left,DEC-LOCK-001/SPEC-SW-001
2,BUY,1.14211,2026.07.06 11:05:00,2026.07.06 11:10:00,2026.07.06 11:15:00,1.14158,1.14176,BLOCKED(DEC-044),1.14176,2026.07.06 11:25:00,1.14176,0.0,1.14157,1.14214,5.20,98.80,2.00,2026.07.06 11:46:01,1.14157,STOP,-98.80,-1.000,A_prime_K3_strict_left,DEC-LOCK-001/SPEC-SW-001
3,BUY,1.14139,2026.07.06 14:40:00,2026.07.06 14:45:00,2026.07.06 14:50:00,1.14126,1.14134,BLOCKED(DEC-044),1.14134,2026.07.06 15:00:00,1.14153,19.0,1.14125,1.14209,3.49,97.72,2.00,2026.07.06 15:45:21,1.14125,STOP,-97.72,-1.000,A_prime_K3_strict_left,DEC-LOCK-001/SPEC-SW-001
4,BUY,1.14145,2026.07.06 15:35:00,2026.07.06 15:40:00,2026.07.06 15:45:00,1.14127,1.14139,BLOCKED(DEC-044),1.14139,2026.07.06 15:55:00,1.14153,14.0,1.14126,1.14207,3.59,96.93,2.00,2026.07.06 15:57:40,1.14126,STOP,-96.93,-1.000,A_prime_K3_strict_left,DEC-LOCK-001/SPEC-SW-001
5,BUY,1.14320,2026.07.07 08:15:00,2026.07.07 08:20:00,2026.07.07 08:25:00,1.14292,1.14308,BLOCKED(DEC-044),1.14308,2026.07.07 08:35:00,1.14327,19.0,1.14291,1.14399,2.66,95.76,2.00,2026.07.07 08:44:01,1.14291,STOP,-95.76,-1.000,A_prime_K3_strict_left,DEC-LOCK-001/SPEC-SW-001
6,BUY,1.14303,2026.07.07 11:45:00,2026.07.07 11:50:00,2026.07.07 11:55:00,1.14274,1.14280,BLOCKED(DEC-044),1.14271,2026.07.07 11:10:00,1.14289,18.0,1.14247,1.14373,2.26,94.92,2.00,2026.07.07 12:50:08,1.14247,STOP,-94.92,-1.000,A_prime_K3_strict_left,DEC-LOCK-001/SPEC-SW-001
7,BUY,1.14339,2026.07.07 15:55:00,2026.07.07 16:00:00,2026.07.07 16:05:00,1.14316,1.14321,BLOCKED(DEC-044),1.14326,2026.07.07 15:05:00,1.14345,19.0,1.14252,1.14531,1.01,93.93,2.00,2026.07.07 17:09:00,1.14252,STOP,-93.93,-1.000,A_prime_K3_strict_left,DEC-LOCK-001/SPEC-SW-001
8,BUY,1.14280,2026.07.07 18:10:00,2026.07.07 18:15:00,2026.07.07 18:20:00,1.14253,1.14272,BLOCKED(DEC-044),1.14267,2026.07.07 17:20:00,1.14296,29.0,1.14248,1.14392,1.94,93.12,2.00,2026.07.07 18:49:56,1.14248,STOP,-93.12,-1.000,A_prime_K3_strict_left,DEC-LOCK-001/SPEC-SW-001
9,BUY,1.14238,2026.07.07 18:50:00,2026.07.07 18:55:00,2026.07.07 19:00:00,1.14221,1.14236,BLOCKED(DEC-044),1.14236,2026.07.07 19:10:00,1.14245,9.0,1.14220,1.14295,3.68,92.00,2.00,2026.07.07 19:12:23,1.14220,STOP,-92.00,-1.000,A_prime_K3_strict_left,DEC-LOCK-001/SPEC-SW-001
10,BUY,1.14138,2026.07.07 23:10:00,2026.07.07 23:15:00,2026.07.07 23:20:00,1.14122,1.14144,BLOCKED(DEC-044),1.14144,2026.07.07 23:30:00,1.14141,-3.0,1.14121,1.14181,4.56,91.20,2.00,2026.07.07 23:30:54,1.14120,STOP,-95.76,-1.050,A_prime_K3_strict_left,DEC-LOCK-001/SPEC-SW-001
