time,event,a,b,c,d,e
2026.07.09 00:00:00,RUN_START,bal=10000.00,EURUSD,PERIOD_M5,pad=5,R=2.0
2026.07.09 00:45:00,ENTRY_ATTEMPT,P1_EURUSD_1783557600,BUY,2.70,1.14179,1.14142
2026.07.09 00:45:00,ENTRY_ACCEPTED,P1_EURUSD_1783557600,id=1,1.14179,lot=2.70,riskP=100.00/A=99.90
2026.07.09 00:49:44,EXIT,id=1,STOP,-108.00,R=-1.081,
2026.07.09 02:55:00,ENTRY_ATTEMPT,P2_EURUSD_1783565400,SELL,4.24,1.14205,1.14220
2026.07.09 02:55:00,ENTRY_ACCEPTED,P2_EURUSD_1783565400,id=2,1.14205,lot=4.24,riskP=98.92/A=63.60
2026.07.09 02:56:15,EXIT,id=2,STOP,-80.56,R=-1.267,
2026.07.09 03:20:00,ENTRY_ATTEMPT,P2_EURUSD_1783566900,SELL,3.06,1.14263,1.14295
2026.07.09 03:20:00,ENTRY_ACCEPTED,P2_EURUSD_1783566900,id=3,1.14263,lot=3.06,riskP=98.11/A=97.92
2026.07.09 03:32:56,EXIT,id=3,STOP,-97.92,R=-1.000,
2026.07.09 05:10:00,ENTRY_ATTEMPT,P2_EURUSD_1783573500,SELL,3.33,1.14271,1.14279
2026.07.09 05:10:00,ENTRY_ACCEPTED,P2_EURUSD_1783573500,id=4,1.14271,lot=3.33,riskP=97.14/A=26.64
2026.07.09 05:10:31,EXIT,id=4,STOP,-26.64,R=-1.000,
2026.07.09 05:40:01,ENTRY_ATTEMPT,P1_EURUSD_1783575300,BUY,3.32,1.14249,1.14241
2026.07.09 05:40:01,ENTRY_ACCEPTED,P1_EURUSD_1783575300,id=5,1.14249,lot=3.32,riskP=96.87/A=26.56
2026.07.09 05:40:54,EXIT,id=5,STOP,-29.88,R=-1.125,
2026.07.09 06:40:00,ENTRY_ATTEMPT,P2_EURUSD_1783578900,SELL,3.64,1.14298,1.14309
2026.07.09 06:40:00,ENTRY_ACCEPTED,P2_EURUSD_1783578900,id=6,1.14298,lot=3.64,riskP=96.57/A=40.04
2026.07.09 06:44:10,EXIT,id=6,TARGET,80.08,R=2.000,
2026.07.09 09:40:00,ENTRY_ATTEMPT,P2_EURUSD_1783589700,SELL,1.87,1.14448,1.14500
