trade_id,pattern_id,direction,candle_1,candle_2,candle_3,signal_time,entry_time,reference,sweep,rejection,entry,stop,target,theo_lot,capped_lot,final_lot,planned_risk,actual_risk,margin_req,margin_avail,exit_time,exit_price,exit_reason,pnl,R
1,P1_EURUSD_1783557600,BUY,2026.07.09 00:30:00,2026.07.09 00:35:00,2026.07.09 00:40:00,2026.07.09 00:40:00,2026.07.09 00:45:00,1.14165,1.14147,1.14167,1.14179,1.14142,1.14253,2.70,2.70,2.70,100.00,99.90,3165.67,10000.00,2026.07.09 00:49:44,1.14139,STOP,-108.00,-1.081
2,P2_EURUSD_1783565400,SELL,2026.07.09 02:40:00,2026.07.09 02:45:00,2026.07.09 02:50:00,2026.07.09 02:50:00,2026.07.09 02:55:00,1.14209,1.14215,1.14205,1.14205,1.14220,1.14175,6.59,4.24,4.24,98.92,63.60,6684.58,9892.00,2026.07.09 02:56:15,1.14224,STOP,-80.56,-1.267
3,P2_EURUSD_1783566900,SELL,2026.07.09 03:05:00,2026.07.09 03:10:00,2026.07.09 03:15:00,2026.07.09 03:15:00,2026.07.09 03:20:00,1.14265,1.14290,1.14263,1.14263,1.14295,1.14199,3.06,3.06,3.06,98.11,97.92,3992.90,9811.44,2026.07.09 03:32:56,1.14295,STOP,-97.92,-1.000
4,P2_EURUSD_1783573500,SELL,2026.07.09 04:55:00,2026.07.09 05:00:00,2026.07.09 05:05:00,2026.07.09 05:05:00,2026.07.09 05:10:00,1.14263,1.14274,1.14271,1.14271,1.14279,1.14255,12.14,3.33,3.33,97.14,26.64,4610.45,9713.52,2026.07.09 05:10:31,1.14279,STOP,-26.64,-1.000
5,P1_EURUSD_1783575300,BUY,2026.07.09 05:25:00,2026.07.09 05:30:00,2026.07.09 05:35:00,2026.07.09 05:35:00,2026.07.09 05:40:00,1.14257,1.14246,1.14248,1.14249,1.14241,1.14265,12.10,3.32,3.32,96.87,26.56,4586.13,9686.88,2026.07.09 05:40:54,1.14240,STOP,-29.88,-1.125
6,P2_EURUSD_1783578900,SELL,2026.07.09 06:25:00,2026.07.09 06:30:00,2026.07.09 06:35:00,2026.07.09 06:35:00,2026.07.09 06:40:00,1.14269,1.14304,1.14297,1.14298,1.14309,1.14276,8.77,3.64,3.64,96.57,40.04,5320.89,9657.00,2026.07.09 06:44:10,1.14276,TARGET,80.08,2.000
7,P2_EURUSD_1783589700,SELL,2026.07.09 09:25:00,2026.07.09 09:30:00,2026.07.09 09:35:00,2026.07.09 09:35:00,2026.07.09 09:40:00,1.14477,1.14495,1.14448,1.14448,1.14500,1.14344,1.87,1.87,1.87,97.37,97.24,2140.18,9737.08,2026.07.09 10:45:54,1.14344,TARGET,194.48,2.000
8,P1_EURUSD_1783594200,BUY,2026.07.09 10:40:00,2026.07.09 10:45:00,2026.07.09 10:50:00,2026.07.09 10:50:00,2026.07.09 10:55:00,1.14346,1.14324,1.14342,1.14342,1.14319,1.14388,4.31,4.31,4.31,99.32,99.13,6856.28,9931.56,2026.07.09 10:56:19,1.14317,STOP,-107.75,-1.087
9,P1_EURUSD_1783597800,BUY,2026.07.09 11:40:00,2026.07.09 11:45:00,2026.07.09 11:50:00,2026.07.09 11:50:00,2026.07.09 11:55:00,1.14311,1.14290,1.14303,1.14304,1.14285,1.14342,5.17,5.17,5.17,98.24,98.23,9728.55,9823.81,2026.07.09 11:55:45,1.14280,STOP,-124.08,-1.263
10,P1_EURUSD_1783598400,BUY,2026.07.09 11:50:00,2026.07.09 11:55:00,2026.07.09 12:00:00,2026.07.09 12:00:00,2026.07.09 12:05:00,1.14282,1.14250,1.14277,1.14277,1.14245,1.14341,3.03,3.03,3.03,97.00,96.96,3925.19,9699.73,2026.07.09 12:07:14,1.14244,STOP,-99.99,-1.031
11,P2_EURUSD_1783602000,SELL,2026.07.09 12:50:00,2026.07.09 12:55:00,2026.07.09 13:00:00,2026.07.09 13:00:00,2026.07.09 13:05:00,1.14297,1.14316,1.14292,1.14292,1.14321,1.14234,3.31,3.31,3.31,96.00,95.99,4566.13,9599.74,2026.07.09 13:52:33,1.14234,TARGET,191.98,2.000
12,P2_EURUSD_1783608900,SELL,2026.07.09 14:45:00,2026.07.09 14:50:00,2026.07.09 14:55:00,2026.07.09 14:55:00,2026.07.09 15:00:00,1.14276,1.14299,1.14297,1.14297,1.14304,1.14283,13.98,3.25,3.25,97.92,22.75,4429.31,9791.72,2026.07.09 15:00:00,1.14304,STOP,-22.75,-1.000
13,P2_EURUSD_1783609800,SELL,2026.07.09 15:00:00,2026.07.09 15:05:00,2026.07.09 15:10:00,2026.07.09 15:10:00,2026.07.09 15:15:00,1.14331,1.14354,1.14340,1.14340,1.14359,1.14302,5.14,5.14,5.14,97.69,97.66,9631.23,9768.97,2026.07.09 15:16:37,1.14360,STOP,-102.80,-1.053
14,P1_EURUSD_1783611900,BUY,2026.07.09 15:35:00,2026.07.09 15:40:00,2026.07.09 15:45:00,2026.07.09 15:45:00,2026.07.09 15:50:00,1.14297,1.14268,1.14268,1.14269,1.14263,1.14281,16.11,3.13,3.13,96.66,18.78,4153.24,9666.17,2026.07.09 15:51:00,1.14281,TARGET,37.56,2.000
15,P2_EURUSD_1783615800,SELL,2026.07.09 16:40:00,2026.07.09 16:45:00,2026.07.09 16:50:00,2026.07.09 16:50:00,2026.07.09 16:55:00,1.14370,1.14378,1.14359,1.14360,1.14383,1.14314,4.21,4.21,4.21,97.04,96.83,6629.11,9703.73,2026.07.09 16:57:28,1.14384,STOP,-101.04,-1.043
16,P2_EURUSD_1783616700,SELL,2026.07.09 16:55:00,2026.07.09 17:00:00,2026.07.09 17:05:00,2026.07.09 17:05:00,2026.07.09 17:10:00,1.14393,1.14462,1.14401,1.14402,1.14467,1.14272,1.47,1.47,1.47,96.03,95.55,1681.71,9602.69,2026.07.09 22:34:38,1.14272,TARGET,191.10,2.000
17,P1_EURUSD_1783636500,BUY,2026.07.09 22:25:00,2026.07.09 22:30:00,2026.07.09 22:35:00,2026.07.09 22:35:00,2026.07.09 22:40:00,1.14287,1.14264,1.14286,1.14286,1.14259,1.14340,3.62,3.62,3.62,97.94,97.74,5274.31,9793.79,2026.07.09 22:57:14,1.14259,STOP,-97.74,-1.000
18,P2_EURUSD_1783638900,SELL,2026.07.09 23:05:00,2026.07.09 23:10:00,2026.07.09 23:15:00,2026.07.09 23:15:00,2026.07.09 23:20:00,1.14293,1.14301,1.14299,1.14299,1.14306,1.14285,13.85,3.23,3.23,96.96,22.61,4383.72,9696.05,2026.07.09 23:25:30,1.14306,STOP,-22.61,-1.000
