n,t3,entry_ask,stop,stop_points,lot_1pct,margin_1pct,fits_1pct,lot_025,margin_025,fits_025,lot_010,margin_010,fits_010,invalid_stop,censor_reason
1,2026.07.06 01:10:00,1.14358,1.14342,16.0,6.24,13407.82,0,1.56,1783.98,1,0.62,709.02,1,0,MARGIN_FAIL_1PCT
2,2026.07.06 02:10:00,1.14344,1.14334,10.0,10.00,26303.20,0,2.50,2858.60,1,1.00,1143.44,1,0,MARGIN_FAIL_1PCT
3,2026.07.06 04:25:00,1.14317,1.14315,2.0,49.99,163441.20,0,12.49,34834.58,0,4.99,9113.25,1,0,MARGIN_FAIL_1PCT
4,2026.07.06 05:00:00,1.14296,1.14283,13.0,7.69,18368.09,0,1.92,2194.48,1,0.76,868.65,1,0,MARGIN_FAIL_1PCT
5,2026.07.06 06:35:00,1.14298,1.14279,19.0,5.26,10036.22,0,1.31,1497.30,1,0.52,594.35,1,0,MARGIN_FAIL_1PCT
6,2026.07.06 08:10:00,1.14299,1.14284,15.0,6.66,14836.94,0,1.66,1897.36,1,0.66,754.37,1,0,MARGIN_FAIL_1PCT
7,2026.07.06 11:15:00,1.14176,1.14157,19.0,5.26,10016.97,0,1.31,1495.71,1,0.52,593.72,1,0,MARGIN_FAIL_1PCT
8,2026.07.06 12:55:00,1.14132,1.14109,23.0,4.34,6906.66,1,1.08,1232.63,1,0.43,490.77,1,0,EXECUTABLE_1PCT
9,2026.07.06 14:50:00,1.14134,1.14125,9.0,11.11,30040.86,0,2.77,3323.02,1,1.11,1266.89,1,0,MARGIN_FAIL_1PCT
10,2026.07.06 15:45:00,1.14139,1.14126,13.0,7.69,18331.87,0,1.92,2191.47,1,0.76,867.46,1,0,MARGIN_FAIL_1PCT
11,2026.07.06 16:50:00,1.14122,1.14120,2.0,49.99,163148.76,0,12.49,34761.51,0,4.99,9084.06,1,0,MARGIN_FAIL_1PCT
12,2026.07.07 03:30:00,1.14397,1.14380,17.0,5.88,12179.63,0,1.47,1681.64,1,0.58,663.50,1,0,MARGIN_FAIL_1PCT
13,2026.07.07 05:30:00,1.14422,1.14414,8.0,12.49,34873.92,0,3.12,4139.93,1,1.24,1418.83,1,0,MARGIN_FAIL_1PCT
14,2026.07.07 06:45:00,1.14369,1.14360,9.0,11.11,30119.19,0,2.77,3336.04,1,1.11,1269.50,1,0,MARGIN_FAIL_1PCT
15,2026.07.07 08:25:00,1.14308,1.14291,17.0,5.88,12163.93,0,1.47,1680.33,1,0.58,662.99,1,0,MARGIN_FAIL_1PCT
16,2026.07.07 10:30:00,1.14304,1.14263,41.0,2.43,2777.59,1,0.60,685.82,1,0.24,274.33,1,0,EXECUTABLE_1PCT
17,2026.07.07 11:00:00,1.14271,1.14247,24.0,4.16,6507.35,1,1.04,1188.42,1,0.41,468.51,1,0,EXECUTABLE_1PCT
18,2026.07.07 11:55:00,1.14281,1.14273,8.0,12.50,34855.38,0,3.12,4131.13,1,1.25,1428.51,1,0,MARGIN_FAIL_1PCT
19,2026.07.07 14:55:00,1.14326,1.14252,74.0,1.35,1543.40,1,0.33,377.28,1,0.13,148.62,1,0,EXECUTABLE_1PCT
20,2026.07.07 16:05:00,1.14321,1.14315,6.0,16.66,49137.64,0,4.16,6511.51,1,1.66,1897.73,1,0,MARGIN_FAIL_1PCT
21,2026.07.07 17:10:00,1.14266,1.14248,18.0,5.55,11025.29,0,1.38,1576.87,1,0.55,628.46,1,0,MARGIN_FAIL_1PCT
22,2026.07.07 18:20:00,1.14272,1.14252,20.0,5.00,9140.80,1,1.25,1428.40,1,0.50,571.36,1,0,EXECUTABLE_1PCT
23,2026.07.07 19:00:00,1.14236,1.14220,16.0,6.24,13384.98,0,1.56,1782.08,1,0.62,708.26,1,0,MARGIN_FAIL_1PCT
24,2026.07.07 21:55:00,1.14185,1.14173,12.0,8.33,20534.83,0,2.08,2375.05,1,0.83,947.74,1,0,MARGIN_FAIL_1PCT
25,2026.07.07 22:15:00,1.14117,1.14111,6.0,16.66,49035.68,0,4.16,6494.53,1,1.66,1894.34,1,0,MARGIN_FAIL_1PCT
26,2026.07.07 23:20:00,1.14143,1.14121,22.0,4.54,7546.28,1,1.13,1289.82,1,0.45,513.64,1,0,EXECUTABLE_1PCT
27,2026.07.07 23:40:00,1.14120,1.14108,12.0,8.33,20518.59,0,2.08,2373.70,1,0.83,947.20,1,0,MARGIN_FAIL_1PCT
28,2026.07.08 01:40:00,1.14049,1.14029,20.0,5.00,9107.35,1,1.25,1425.61,1,0.50,570.25,1,0,EXECUTABLE_1PCT
29,2026.07.08 04:00:00,1.14079,1.14070,9.0,11.11,30022.53,0,2.77,3319.98,1,1.11,1266.28,1,0,MARGIN_FAIL_1PCT
30,2026.07.08 04:45:00,1.14045,1.13984,61.0,1.63,1858.93,1,0.40,456.18,1,0.16,182.47,1,0,EXECUTABLE_1PCT
31,2026.07.08 11:20:00,1.14074,1.14006,68.0,1.47,1676.89,1,0.36,410.67,1,0.14,159.70,1,0,EXECUTABLE_1PCT
32,2026.07.08 12:15:00,1.14052,1.13959,93.0,1.07,1220.36,1,0.26,296.54,1,0.10,114.05,1,0,EXECUTABLE_1PCT
33,2026.07.08 14:05:00,1.14070,1.14047,23.0,4.34,6901.28,1,1.08,1231.96,1,0.43,490.50,1,0,EXECUTABLE_1PCT
34,2026.07.08 14:40:00,1.14044,1.13939,105.0,0.95,1083.42,1,0.23,262.30,1,0.09,102.64,1,0,EXECUTABLE_1PCT
35,2026.07.08 17:15:00,1.14088,1.14057,31.0,3.22,4347.27,1,0.80,912.70,1,0.32,365.08,1,0,EXECUTABLE_1PCT
36,2026.07.08 18:20:00,1.14016,1.13990,26.0,3.84,5756.43,1,0.96,1094.55,1,0.38,433.26,1,0,EXECUTABLE_1PCT
37,2026.07.08 18:45:00,1.13928,1.13911,17.0,5.88,12096.90,0,1.47,1674.74,1,0.58,660.78,1,0,MARGIN_FAIL_1PCT
38,2026.07.08 21:00:00,1.14215,1.14176,39.0,2.56,2923.90,1,0.64,730.98,1,0.25,285.54,1,0,EXECUTABLE_1PCT
39,2026.07.08 22:50:00,1.14267,1.14225,42.0,2.38,2719.55,1,0.59,674.18,1,0.23,262.81,1,0,EXECUTABLE_1PCT
40,2026.07.08 23:40:00,1.14165,1.14151,14.0,7.14,16454.14,0,1.78,2032.14,1,0.71,810.57,1,0,MARGIN_FAIL_1PCT
41,2026.07.09 00:40:00,1.14167,1.14146,21.0,4.76,8303.05,1,1.19,1358.59,1,0.47,536.58,1,0,EXECUTABLE_1PCT
42,2026.07.09 05:35:00,1.14249,1.14245,4.0,24.99,77652.48,0,6.24,13387.41,0,2.49,2844.80,1,0,MARGIN_FAIL_1PCT
43,2026.07.09 10:10:00,1.14368,1.14349,19.0,5.26,10047.27,0,1.31,1498.22,1,0.52,594.71,1,0,MARGIN_FAIL_1PCT
44,2026.07.09 10:50:00,1.14342,1.14323,19.0,5.26,10043.17,0,1.31,1497.88,1,0.52,594.58,1,0,MARGIN_FAIL_1PCT
