time,event,a,b,c,d,e
2024.01.01 00:00:00,RUN_START,bal=10000.00,EURUSD,PERIOD_M5,pad=5,R=2.0
2024.01.02 00:10:05,ENTRY_ATTEMPT,P2_EURUSD_1704153900,SELL,4.54,1.10420,1.10442
2024.01.02 00:10:05,ENTRY_REJECTED,P2_EURUSD_1704153900,10016,invalid stops,,
2024.01.02 01:25:00,ENTRY_ATTEMPT,P1_EURUSD_1704158400,BUY,4.18,1.10379,1.10366
2024.01.02 01:25:00,ENTRY_ACCEPTED,P1_EURUSD_1704158400,id=1,1.10379,lot=4.18,riskP=100.00/A=54.34
2024.01.02 01:33:07,EXIT,id=1,STOP,-66.88,R=-1.231,
2024.01.02 03:00:00,ENTRY_ATTEMPT,P2_EURUSD_1704164100,SELL,3.33,1.10380,1.10386
2024.01.02 03:00:00,ENTRY_ACCEPTED,P2_EURUSD_1704164100,id=2,1.10380,lot=3.33,riskP=99.33/A=19.98
2024.01.02 03:00:01,EXIT,id=2,STOP,-19.98,R=-1.000,
2024.01.02 03:10:00,ENTRY_ATTEMPT,P2_EURUSD_1704164700,SELL,3.64,1.10402,1.10411
2024.01.02 03:10:00,ENTRY_ACCEPTED,P2_EURUSD_1704164700,id=3,1.10402,lot=3.64,riskP=99.13/A=32.76
2024.01.02 03:11:24,EXIT,id=3,STOP,-32.76,R=-1.000,
2024.01.02 04:35:00,ENTRY_ATTEMPT,P1_EURUSD_1704169800,BUY,3.88,1.10265,1.10254
2024.01.02 04:35:00,ENTRY_ACCEPTED,P1_EURUSD_1704169800,id=4,1.10265,lot=3.88,riskP=98.80/A=42.68
2024.01.02 04:40:15,EXIT,id=4,STOP,-42.68,R=-1.000,
2024.01.02 05:05:00,ENTRY_ATTEMPT,P1_EURUSD_1704171600,BUY,4.48,1.10190,1.10175
2024.01.02 05:05:00,ENTRY_ACCEPTED,P1_EURUSD_1704171600,id=5,1.10190,lot=4.48,riskP=98.38/A=67.20
2024.01.02 05:05:50,EXIT,id=5,STOP,-67.20,R=-1.000,
2024.01.02 05:55:00,ENTRY_ATTEMPT,P2_EURUSD_1704174600,SELL,4.14,1.10240,1.10253
2024.01.02 05:55:00,ENTRY_ACCEPTED,P2_EURUSD_1704174600,id=6,1.10240,lot=4.14,riskP=97.70/A=53.82
2024.01.02 06:08:15,EXIT,id=6,TARGET,107.64,R=2.000,
2024.01.02 06:15:00,ENTRY_ATTEMPT,P1_EURUSD_1704175800,BUY,5.19,1.10222,1.10203
2024.01.02 06:15:00,ENTRY_ACCEPTED,P1_EURUSD_1704175800,id=7,1.10222,lot=5.19,riskP=98.78/A=98.61
2024.01.02 06:27:35,EXIT,id=7,STOP,-98.61,R=-1.000,
2024.01.02 07:00:00,ENTRY_ATTEMPT,P1_EURUSD_1704178500,BUY,1.81,1.10212,1.10158
2024.01.02 07:00:00,ENTRY_ACCEPTED,P1_EURUSD_1704178500,id=8,1.10212,lot=1.81,riskP=97.80/A=97.74
2024.01.02 07:10:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1704179100,,,,
2024.01.02 07:30:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1704180300,,,,
2024.01.02 07:50:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1704181500,,,,
2024.01.02 07:52:53,EXIT,id=8,TARGET,195.48,R=2.000,
2024.01.02 08:05:00,ENTRY_ATTEMPT,P2_EURUSD_1704182400,SELL,4.33,1.10326,1.10340
2024.01.02 08:05:00,ENTRY_ACCEPTED,P2_EURUSD_1704182400,id=9,1.10326,lot=4.33,riskP=99.75/A=60.62
2024.01.02 08:05:28,EXIT,id=9,STOP,-60.62,R=-1.000,
2024.01.02 09:10:00,ENTRY_ATTEMPT,P1_EURUSD_1704186300,BUY,2.06,1.10286,1.10238
2024.01.02 09:10:00,ENTRY_ACCEPTED,P1_EURUSD_1704186300,id=10,1.10286,lot=2.06,riskP=99.14/A=98.88
2024.01.02 09:35:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1704187800,,,,
2024.01.02 09:51:54,EXIT,id=10,STOP,-98.88,R=-1.000,
2024.01.02 10:05:00,ENTRY_ATTEMPT,P1_EURUSD_1704189600,BUY,0.79,1.10270,1.10146
2024.01.02 10:05:00,ENTRY_ACCEPTED,P1_EURUSD_1704189600,id=11,1.10270,lot=0.79,riskP=98.16/A=97.96
2024.01.02 11:46:06,EXIT,id=11,STOP,-97.96,R=-1.000,
2024.01.02 11:50:00,ENTRY_ATTEMPT,P1_EURUSD_1704195900,BUY,3.28,1.10191,1.10185
2024.01.02 11:50:00,ENTRY_ACCEPTED,P1_EURUSD_1704195900,id=12,1.10191,lot=3.28,riskP=97.18/A=19.68
2024.01.02 11:50:03,EXIT,id=12,STOP,-19.68,R=-1.000,
2024.01.02 12:20:00,ENTRY_ATTEMPT,P1_EURUSD_1704197700,BUY,1.73,1.10022,1.09966
2024.01.02 12:20:00,ENTRY_ACCEPTED,P1_EURUSD_1704197700,id=13,1.10022,lot=1.73,riskP=96.98/A=96.88
2024.01.02 12:55:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1704199800,,,,
2024.01.02 13:12:19,EXIT,id=13,STOP,-98.61,R=-1.018,
2024.01.02 13:25:00,ENTRY_ATTEMPT,P1_EURUSD_1704201600,BUY,4.36,1.09833,1.09811
2024.01.02 13:25:00,ENTRY_ACCEPTED,P1_EURUSD_1704201600,id=14,1.09833,lot=4.36,riskP=95.99/A=95.92
2024.01.02 13:26:57,EXIT,id=14,STOP,-95.92,R=-1.000,
2024.01.02 13:55:00,ENTRY_ATTEMPT,P1_EURUSD_1704203400,BUY,3.51,1.09689,1.09662
2024.01.02 13:55:00,ENTRY_ACCEPTED,P1_EURUSD_1704203400,id=15,1.09689,lot=3.51,riskP=95.03/A=94.77
2024.01.02 14:18:27,EXIT,id=15,STOP,-94.77,R=-1.000,
2024.01.02 14:30:00,ENTRY_ATTEMPT,P1_EURUSD_1704205500,BUY,1.80,1.09658,1.09606
2024.01.02 14:30:00,ENTRY_ACCEPTED,P1_EURUSD_1704205500,id=16,1.09658,lot=1.80,riskP=94.09/A=93.60
2024.01.02 14:37:06,EXIT,id=16,STOP,-95.40,R=-1.019,
2024.01.02 16:45:00,ENTRY_ATTEMPT,P2_EURUSD_1704213600,SELL,2.16,1.09571,1.09614
2024.01.02 16:45:00,ENTRY_ACCEPTED,P2_EURUSD_1704213600,id=17,1.09571,lot=2.16,riskP=93.13/A=92.88
2024.01.02 16:45:23,EXIT,id=17,STOP,-97.20,R=-1.047,
2024.01.02 18:05:00,ENTRY_ATTEMPT,P1_EURUSD_1704218400,BUY,2.24,1.09443,1.09402
2024.01.02 18:05:00,ENTRY_ACCEPTED,P1_EURUSD_1704218400,id=18,1.09443,lot=2.24,riskP=92.16/A=91.84
2024.01.02 18:09:04,EXIT,id=18,TARGET,188.16,R=2.049,
2024.01.02 18:20:00,ENTRY_ATTEMPT,P2_EURUSD_1704219300,SELL,3.31,1.09581,1.09588
2024.01.02 18:20:00,ENTRY_ACCEPTED,P2_EURUSD_1704219300,id=19,1.09581,lot=3.31,riskP=94.04/A=23.17
2024.01.02 18:20:00,EXIT,id=19,STOP,-26.48,R=-1.143,
