invariant,result,detail
GUARD_not_real,PASS,trade_mode=0 (0=DEMO 1=CONTEST 2=REAL)
SYM_bullish_detected,PASS,ref=1.10300 sweep=1.10200 rej=1.10380
SYM_bullish_levels,PASS,
SYM_bearish_detected_on_mirror,PASS,ref=1.10700 sweep=1.10800
SYM_levels_are_mirrored,PASS,sigma(ref')==ref and sigma(sweep')==sweep
SYM_no_SELL_from_bullish,PASS,
SYM_no_BUY_from_bearish,PASS,
SYM_stop_mirror,PASS,SL mirrors exactly
SYM_target_mirror,PASS,TP mirrors exactly
PROV_snapshot_immutable,PASS,trade 1 still references P1 after P2 and P3 were recorded
SIZING_pad_locked,PASS,PAD X=5 locked by CHECKPOINT-002
SIZING_risk_locked,PASS,Policy A 1% locked
SAFETY_directions_gated,PASS,both directions come from the same DetectAt; no separate path exists
ENTRY_TIMING_109,FAIL,signal=2024.01.05 23:55:00 entry=2024.01.08 00:00:00
ENTRY_TIMING_822,FAIL,signal=2024.02.09 23:55:00 entry=2024.02.12 00:00:00
ENTRY_TIMING_1361,FAIL,signal=2024.03.08 23:55:00 entry=2024.03.11 00:00:00
ENTRY_TIMING_3952,FAIL,signal=2024.07.26 23:55:00 entry=2024.07.29 00:00:00
ENTRY_TIMING_4356,FAIL,signal=2024.08.16 23:55:00 entry=2024.08.19 00:00:00
ENTRY_TIMING_6730,FAIL,signal=2024.12.13 23:55:00 entry=2024.12.16 00:00:00
ENTRY_TIMING_7112,FAIL,signal=2025.01.07 05:45:00 entry=2025.01.07 07:00:00
ENTRY_TIMING_7117,FAIL,signal=2025.01.07 10:55:00 entry=2025.01.07 11:50:00
ENTRY_TIMING_8981,FAIL,signal=2025.04.04 23:55:00 entry=2025.04.07 00:00:00
ENTRY_TIMING_10721,FAIL,signal=2025.06.27 23:55:00 entry=2025.06.30 00:00:00
ENTRY_TIMING_10997,FAIL,signal=2025.07.11 23:55:00 entry=2025.07.14 00:00:00
ENTRY_TIMING_11477,FAIL,signal=2025.08.05 23:50:00 entry=2025.08.06 00:00:00
ENTRY_TIMING_12415,FAIL,signal=2025.09.22 18:35:00 entry=2025.09.22 18:45:00
ENTRY_TIMING_12820,FAIL,signal=2025.10.13 21:40:00 entry=2025.10.13 21:50:00
ENTRY_TIMING_13169,FAIL,signal=2025.10.31 22:55:00 entry=2025.11.03 00:00:00
ENTRY_TIMING_15723,FAIL,signal=2026.03.13 23:00:00 entry=2026.03.16 00:00:00
ENTRY_TIMING_16377,FAIL,signal=2026.04.17 23:55:00 entry=2026.04.20 00:00:00
ENTRY_TIMING_16500,FAIL,signal=2026.04.24 23:55:00 entry=2026.04.27 00:00:00
ENTRY_TIMING_16629,FAIL,signal=2026.05.01 23:55:00 entry=2026.05.04 00:00:00
LEDGER_reconciles,PASS,residual=$-0.0000 (must be 0.00)
