trade_id,pattern_id,direction,candle_1,candle_2,candle_3,signal_time,entry_time,reference,sweep,rejection,entry,stop,target,theo_lot,capped_lot,final_lot,planned_risk,actual_risk,margin_req,margin_avail,exit_time,exit_price,exit_reason,pnl,R
1,P1_EURUSD_1704158400,BUY,2024.01.02 01:10:00,2024.01.02 01:15:00,2024.01.02 01:20:00,2024.01.02 01:20:00,2024.01.02 01:25:00,1.10380,1.10371,1.10377,1.10379,1.10366,1.10405,7.69,4.18,4.18,100.00,54.34,6227.68,10000.00,2024.01.02 01:33:07,1.10363,STOP,-66.88,-1.231
2,P2_EURUSD_1704164100,SELL,2024.01.02 02:45:00,2024.01.02 02:50:00,2024.01.02 02:55:00,2024.01.02 02:55:00,2024.01.02 03:00:00,1.10378,1.10381,1.10381,1.10380,1.10386,1.10368,16.55,3.33,3.33,99.33,19.98,4351.31,9933.12,2024.01.02 03:00:01,1.10386,STOP,-19.98,-1.000
3,P2_EURUSD_1704164700,SELL,2024.01.02 02:55:00,2024.01.02 03:00:00,2024.01.02 03:05:00,2024.01.02 03:05:00,2024.01.02 03:10:00,1.10384,1.10406,1.10403,1.10402,1.10411,1.10384,11.01,3.64,3.64,99.13,32.76,5037.27,9913.14,2024.01.02 03:11:24,1.10411,STOP,-32.76,-1.000
4,P1_EURUSD_1704169800,BUY,2024.01.02 04:20:00,2024.01.02 04:25:00,2024.01.02 04:30:00,2024.01.02 04:30:00,2024.01.02 04:35:00,1.10264,1.10259,1.10263,1.10265,1.10254,1.10287,8.98,3.88,3.88,98.80,42.68,5556.56,9880.38,2024.01.02 04:40:15,1.10254,STOP,-42.68,-1.000
5,P1_EURUSD_1704171600,BUY,2024.01.02 04:50:00,2024.01.02 04:55:00,2024.01.02 05:00:00,2024.01.02 05:00:00,2024.01.02 05:05:00,1.10195,1.10180,1.10187,1.10190,1.10175,1.10220,6.55,4.48,4.48,98.38,67.20,6873.02,9837.70,2024.01.02 05:05:50,1.10175,STOP,-67.20,-1.000
6,P2_EURUSD_1704174600,SELL,2024.01.02 05:40:00,2024.01.02 05:45:00,2024.01.02 05:50:00,2024.01.02 05:50:00,2024.01.02 05:55:00,1.10230,1.10248,1.10240,1.10240,1.10253,1.10214,7.51,4.14,4.14,97.70,53.82,6127.87,9770.50,2024.01.02 06:08:15,1.10214,TARGET,107.64,2.000
7,P1_EURUSD_1704175800,BUY,2024.01.02 06:00:00,2024.01.02 06:05:00,2024.01.02 06:10:00,2024.01.02 06:10:00,2024.01.02 06:15:00,1.10221,1.10208,1.10218,1.10222,1.10203,1.10260,5.19,5.19,5.19,98.78,98.61,9161.57,9878.14,2024.01.02 06:27:35,1.10203,STOP,-98.61,-1.000
8,P1_EURUSD_1704178500,BUY,2024.01.02 06:45:00,2024.01.02 06:50:00,2024.01.02 06:55:00,2024.01.02 06:55:00,2024.01.02 07:00:00,1.10168,1.10163,1.10209,1.10212,1.10158,1.10320,1.81,1.81,1.81,97.80,97.74,1994.84,9779.53,2024.01.02 07:52:53,1.10320,TARGET,195.48,2.000
9,P2_EURUSD_1704182400,SELL,2024.01.02 07:50:00,2024.01.02 07:55:00,2024.01.02 08:00:00,2024.01.02 08:00:00,2024.01.02 08:05:00,1.10329,1.10335,1.10326,1.10326,1.10340,1.10298,7.12,4.33,4.33,99.75,60.62,6554.23,9975.01,2024.01.02 08:05:28,1.10340,STOP,-60.62,-1.000
10,P1_EURUSD_1704186300,BUY,2024.01.02 08:55:00,2024.01.02 09:00:00,2024.01.02 09:05:00,2024.01.02 09:05:00,2024.01.02 09:10:00,1.10266,1.10243,1.10285,1.10286,1.10238,1.10382,2.06,2.06,2.06,99.14,98.88,2271.89,9914.39,2024.01.02 09:51:54,1.10238,STOP,-98.88,-1.000
