time,event,a,b,c,d,e
2026.07.06 00:00:00,RUN_START,bal=10000.00,EURUSD,PERIOD_M5,pad=5,R=2.0
2026.07.06 01:15:00,ENTRY_ATTEMPT,P1_EURUSD_1783300200,BUY,4.54,1.14360,1.14338
2026.07.06 01:15:00,ENTRY_ACCEPTED,P1_EURUSD_1783300200,id=1,1.14360,lot=4.54,riskP=100.00/A=99.88
2026.07.06 01:45:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1783302000,,,,
2026.07.06 02:09:32,EXIT,id=1,STOP,-99.88,R=-1.000,
2026.07.06 02:15:00,ENTRY_ATTEMPT,P1_EURUSD_1783303800,BUY,4.09,1.14344,1.14330
2026.07.06 02:15:00,ENTRY_ACCEPTED,P1_EURUSD_1783303800,id=2,1.14344,lot=4.09,riskP=99.00/A=57.26
2026.07.06 02:32:18,EXIT,id=2,TARGET,114.52,R=2.000,
2026.07.06 02:35:01,ENTRY_ATTEMPT,P2_EURUSD_1783305000,SELL,3.61,1.14365,1.14375
2026.07.06 02:35:01,ENTRY_ACCEPTED,P2_EURUSD_1783305000,id=3,1.14365,lot=3.61,riskP=100.15/A=36.10
2026.07.06 02:40:59,EXIT,id=3,STOP,-36.10,R=-1.000,
2026.07.06 04:30:00,ENTRY_ATTEMPT,P1_EURUSD_1783311900,BUY,3.30,1.14318,1.14311
2026.07.06 04:30:00,ENTRY_ACCEPTED,P1_EURUSD_1783311900,id=4,1.14318,lot=3.30,riskP=99.79/A=23.10
2026.07.06 04:30:11,EXIT,id=4,STOP,-23.10,R=-1.000,
2026.07.06 05:05:00,ENTRY_ATTEMPT,P1_EURUSD_1783314000,BUY,4.77,1.14297,1.14279
2026.07.06 05:05:00,ENTRY_ACCEPTED,P1_EURUSD_1783314000,id=5,1.14297,lot=4.77,riskP=99.55/A=85.86
2026.07.06 05:07:07,EXIT,id=5,STOP,-85.86,R=-1.000,
2026.07.06 06:05:00,ENTRY_ATTEMPT,P2_EURUSD_1783317600,SELL,3.57,1.14349,1.14359
2026.07.06 06:05:00,ENTRY_ACCEPTED,P2_EURUSD_1783317600,id=6,1.14349,lot=3.57,riskP=98.70/A=35.70
2026.07.06 06:05:10,EXIT,id=6,STOP,-35.70,R=-1.000,
2026.07.06 06:40:00,ENTRY_ATTEMPT,P1_EURUSD_1783319700,BUY,4.09,1.14299,1.14275
2026.07.06 06:40:00,ENTRY_ACCEPTED,P1_EURUSD_1783319700,id=7,1.14299,lot=4.09,riskP=98.34/A=98.16
2026.07.06 07:20:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1783322100,,,,
2026.07.06 08:15:00,SKIPPED_POSITION_OPEN,P1_EURUSD_1783325400,,,,
2026.07.06 08:22:04,EXIT,id=7,STOP,-102.25,R=-1.042,
2026.07.06 10:25:00,ENTRY_ATTEMPT,P2_EURUSD_1783333200,SELL,2.11,1.14243,1.14289
2026.07.06 10:25:00,ENTRY_ACCEPTED,P2_EURUSD_1783333200,id=8,1.14243,lot=2.11,riskP=97.32/A=97.06
2026.07.06 11:20:00,SKIPPED_POSITION_OPEN,P1_EURUSD_1783336500,,,,
2026.07.06 12:49:37,EXIT,id=8,TARGET,194.12,R=2.000,
2026.07.06 13:00:00,ENTRY_ATTEMPT,P1_EURUSD_1783342500,BUY,3.54,1.14133,1.14105
2026.07.06 13:00:00,ENTRY_ACCEPTED,P1_EURUSD_1783342500,id=9,1.14133,lot=3.54,riskP=99.26/A=99.12
2026.07.06 13:06:09,EXIT,id=9,STOP,-99.12,R=-1.000,
2026.07.06 13:30:00,ENTRY_ATTEMPT,P2_EURUSD_1783344300,SELL,2.09,1.14157,1.14204
2026.07.06 13:30:00,ENTRY_ACCEPTED,P2_EURUSD_1783344300,id=10,1.14157,lot=2.09,riskP=98.27/A=98.23
2026.07.06 13:35:49,EXIT,id=10,STOP,-102.41,R=-1.043,
2026.07.06 14:55:00,ENTRY_ATTEMPT,P1_EURUSD_1783349400,BUY,3.92,1.14134,1.14121
2026.07.06 14:55:00,ENTRY_ACCEPTED,P1_EURUSD_1783349400,id=11,1.14134,lot=3.92,riskP=97.24/A=50.96
2026.07.06 14:57:29,EXIT,id=11,TARGET,101.92,R=2.000,
2026.07.06 15:50:00,ENTRY_ATTEMPT,P1_EURUSD_1783352700,BUY,4.77,1.14140,1.14122
2026.07.06 15:50:00,ENTRY_ACCEPTED,P1_EURUSD_1783352700,id=12,1.14140,lot=4.77,riskP=98.26/A=85.86
2026.07.06 15:57:45,EXIT,id=12,STOP,-85.86,R=-1.000,
2026.07.06 16:25:00,ENTRY_ATTEMPT,P2_EURUSD_1783354800,SELL,3.34,1.14212,1.14220
2026.07.06 16:25:00,ENTRY_ACCEPTED,P2_EURUSD_1783354800,id=13,1.14212,lot=3.34,riskP=97.40/A=26.72
2026.07.06 16:25:06,EXIT,id=13,STOP,-26.72,R=-1.000,
2026.07.06 16:55:00,ENTRY_ATTEMPT,P1_EURUSD_1783356600,BUY,3.15,1.14122,1.14116
2026.07.06 16:55:00,ENTRY_ACCEPTED,P1_EURUSD_1783356600,id=14,1.14122,lot=3.15,riskP=97.14/A=18.90
2026.07.06 16:55:19,EXIT,id=14,STOP,-18.90,R=-1.000,
2026.07.06 17:20:00,ENTRY_ATTEMPT,P2_EURUSD_1783358100,SELL,3.12,1.14177,1.14208
2026.07.06 17:20:00,ENTRY_ACCEPTED,P2_EURUSD_1783358100,id=15,1.14177,lot=3.12,riskP=96.95/A=96.72
2026.07.06 17:49:39,EXIT,id=15,TARGET,193.44,R=2.000,
2026.07.06 18:10:00,ENTRY_ATTEMPT,P2_EURUSD_1783361100,SELL,4.70,1.14178,1.14199
2026.07.06 18:10:00,ENTRY_ACCEPTED,P2_EURUSD_1783361100,id=16,1.14178,lot=4.70,riskP=98.88/A=98.70
2026.07.06 18:40:14,EXIT,id=16,STOP,-98.70,R=-1.000,
2026.07.06 18:55:00,ENTRY_ATTEMPT,P2_EURUSD_1783363800,SELL,3.56,1.14245,1.14255
