trade_id,pattern_id,direction,candle_1,candle_2,candle_3,signal_time,entry_time,reference,sweep,rejection,entry,stop,target,theo_lot,capped_lot,final_lot,planned_risk,actual_risk,margin_req,margin_avail,exit_time,exit_price,exit_reason,pnl,R
1,P1_EURUSD_1783300200,BUY,2026.07.06 01:00:00,2026.07.06 01:05:00,2026.07.06 01:10:00,2026.07.06 01:10:00,2026.07.06 01:15:00,1.14356,1.14343,1.14358,1.14360,1.14338,1.14404,4.54,4.54,4.54,100.00,99.88,7575.83,10000.00,2026.07.06 02:09:32,1.14338,STOP,-99.88,-1.000
2,P1_EURUSD_1783303800,BUY,2026.07.06 02:00:00,2026.07.06 02:05:00,2026.07.06 02:10:00,2026.07.06 02:10:00,2026.07.06 02:15:00,1.14345,1.14335,1.14344,1.14344,1.14330,1.14372,7.07,4.09,4.09,99.00,57.26,6353.34,9900.12,2026.07.06 02:32:18,1.14372,TARGET,114.52,2.000
3,P2_EURUSD_1783305000,SELL,2026.07.06 02:20:00,2026.07.06 02:25:00,2026.07.06 02:30:00,2026.07.06 02:30:00,2026.07.06 02:35:00,1.14351,1.14370,1.14366,1.14365,1.14375,1.14345,10.01,3.61,3.61,100.15,36.10,5257.15,10014.64,2026.07.06 02:40:59,1.14375,STOP,-36.10,-1.000
4,P1_EURUSD_1783311900,BUY,2026.07.06 04:15:00,2026.07.06 04:20:00,2026.07.06 04:25:00,2026.07.06 04:25:00,2026.07.06 04:30:00,1.14342,1.14316,1.14317,1.14318,1.14311,1.14332,14.25,3.30,3.30,99.79,23.10,4544.99,9978.54,2026.07.06 04:30:11,1.14311,STOP,-23.10,-1.000
5,P1_EURUSD_1783314000,BUY,2026.07.06 04:50:00,2026.07.06 04:55:00,2026.07.06 05:00:00,2026.07.06 05:00:00,2026.07.06 05:05:00,1.14294,1.14284,1.14297,1.14297,1.14279,1.14333,5.53,4.77,4.77,99.55,85.86,8355.90,9955.44,2026.07.06 05:07:07,1.14279,STOP,-85.86,-1.000
6,P2_EURUSD_1783317600,SELL,2026.07.06 05:50:00,2026.07.06 05:55:00,2026.07.06 06:00:00,2026.07.06 06:00:00,2026.07.06 06:05:00,1.14337,1.14354,1.14349,1.14349,1.14359,1.14329,9.86,3.57,3.57,98.70,35.70,5164.52,9869.58,2026.07.06 06:05:10,1.14359,STOP,-35.70,-1.000
7,P1_EURUSD_1783319700,BUY,2026.07.06 06:25:00,2026.07.06 06:30:00,2026.07.06 06:35:00,2026.07.06 06:35:00,2026.07.06 06:40:00,1.14291,1.14280,1.14298,1.14299,1.14275,1.14347,4.09,4.09,4.09,98.34,98.16,6349.66,9833.88,2026.07.06 08:22:04,1.14274,STOP,-102.25,-1.042
8,P2_EURUSD_1783333200,SELL,2026.07.06 10:10:00,2026.07.06 10:15:00,2026.07.06 10:20:00,2026.07.06 10:20:00,2026.07.06 10:25:00,1.14256,1.14284,1.14243,1.14243,1.14289,1.14151,2.11,2.11,2.11,97.32,97.06,2410.53,9731.63,2026.07.06 12:49:37,1.14151,TARGET,194.12,2.000
9,P1_EURUSD_1783342500,BUY,2026.07.06 12:45:00,2026.07.06 12:50:00,2026.07.06 12:55:00,2026.07.06 12:55:00,2026.07.06 13:00:00,1.14148,1.14110,1.14132,1.14133,1.14105,1.14189,3.54,3.54,3.54,99.26,99.12,5080.62,9925.75,2026.07.06 13:06:09,1.14105,STOP,-99.12,-1.000
10,P2_EURUSD_1783344300,SELL,2026.07.06 13:15:00,2026.07.06 13:20:00,2026.07.06 13:25:00,2026.07.06 13:25:00,2026.07.06 13:30:00,1.14190,1.14199,1.14158,1.14157,1.14204,1.14063,2.09,2.09,2.09,98.27,98.23,2385.88,9826.63,2026.07.06 13:35:49,1.14206,STOP,-102.41,-1.043
11,P1_EURUSD_1783349400,BUY,2026.07.06 14:40:00,2026.07.06 14:45:00,2026.07.06 14:50:00,2026.07.06 14:50:00,2026.07.06 14:55:00,1.14139,1.14126,1.14134,1.14134,1.14121,1.14160,7.48,3.92,3.92,97.24,50.96,5948.11,9724.22,2026.07.06 14:57:29,1.14160,TARGET,101.92,2.000
12,P1_EURUSD_1783352700,BUY,2026.07.06 15:35:00,2026.07.06 15:40:00,2026.07.06 15:45:00,2026.07.06 15:45:00,2026.07.06 15:50:00,1.14145,1.14127,1.14139,1.14140,1.14122,1.14176,5.45,4.77,4.77,98.26,85.86,8333.43,9826.14,2026.07.06 15:57:45,1.14122,STOP,-85.86,-1.000
13,P2_EURUSD_1783354800,SELL,2026.07.06 16:10:00,2026.07.06 16:15:00,2026.07.06 16:20:00,2026.07.06 16:20:00,2026.07.06 16:25:00,1.14206,1.14215,1.14212,1.14212,1.14220,1.14196,12.17,3.34,3.34,97.40,26.72,4629.36,9740.28,2026.07.06 16:25:06,1.14220,STOP,-26.72,-1.000
14,P1_EURUSD_1783356600,BUY,2026.07.06 16:40:00,2026.07.06 16:45:00,2026.07.06 16:50:00,2026.07.06 16:50:00,2026.07.06 16:55:00,1.14165,1.14121,1.14122,1.14122,1.14116,1.14134,16.18,3.15,3.15,97.14,18.90,4189.69,9713.56,2026.07.06 16:55:19,1.14116,STOP,-18.90,-1.000
15,P2_EURUSD_1783358100,SELL,2026.07.06 17:05:00,2026.07.06 17:10:00,2026.07.06 17:15:00,2026.07.06 17:15:00,2026.07.06 17:20:00,1.14187,1.14203,1.14177,1.14177,1.14208,1.14115,3.12,3.12,3.12,96.95,96.72,4124.64,9694.66,2026.07.06 17:49:39,1.14115,TARGET,193.44,2.000
16,P2_EURUSD_1783361100,SELL,2026.07.06 17:55:00,2026.07.06 18:00:00,2026.07.06 18:05:00,2026.07.06 18:05:00,2026.07.06 18:10:00,1.14186,1.14194,1.14178,1.14178,1.14199,1.14136,4.70,4.70,4.70,98.88,98.70,8099.10,9888.10,2026.07.06 18:40:14,1.14199,STOP,-98.70,-1.000
17,P2_EURUSD_1783363800,SELL,2026.07.06 18:40:00,2026.07.06 18:45:00,2026.07.06 18:50:00,2026.07.06 18:50:00,2026.07.06 18:55:00,1.14239,1.14250,1.14246,1.14245,1.14255,1.14225,9.78,3.56,3.56,97.89,35.60,5134.24,9789.40,2026.07.06 18:59:27,1.14255,STOP,-35.60,-1.000
18,P2_EURUSD_1783365000,SELL,2026.07.06 19:00:00,2026.07.06 19:05:00,2026.07.06 19:10:00,2026.07.06 19:10:00,2026.07.06 19:15:00,1.14274,1.14278,1.14263,1.14264,1.14283,1.14226,5.13,5.13,5.13,97.54,97.47,9585.23,9753.80,2026.07.06 19:18:10,1.14283,STOP,-97.47,-1.000
19,P2_EURUSD_1783365600,SELL,2026.07.06 19:10:00,2026.07.06 19:15:00,2026.07.06 19:20:00,2026.07.06 19:20:00,2026.07.06 19:25:00,1.14288,1.14298,1.14291,1.14291,1.14303,1.14267,8.04,3.76,3.76,96.56,45.12,5594.68,9656.33,2026.07.06 19:29:52,1.14303,STOP,-45.12,-1.000
20,P2_EURUSD_1783369500,SELL,2026.07.06 20:15:00,2026.07.06 20:20:00,2026.07.06 20:25:00,2026.07.06 20:25:00,2026.07.06 20:30:00,1.14348,1.14368,1.14358,1.14359,1.14373,1.14331,6.86,4.03,4.03,96.11,56.42,6217.34,9611.21,2026.07.06 20:31:52,1.14373,STOP,-56.42,-1.000
21,P2_EURUSD_1783370700,SELL,2026.07.06 20:35:00,2026.07.06 20:40:00,2026.07.06 20:45:00,2026.07.06 20:45:00,2026.07.06 20:50:00,1.14383,1.14397,1.14381,1.14381,1.14402,1.14339,4.54,4.54,4.54,95.55,95.34,7578.69,9554.79,2026.07.06 21:33:08,1.14402,STOP,-95.34,-1.000
22,P2_EURUSD_1783374000,SELL,2026.07.06 21:30:00,2026.07.06 21:35:00,2026.07.06 21:40:00,2026.07.06 21:40:00,2026.07.06 21:45:00,1.14418,1.14429,1.14422,1.14422,1.14434,1.14398,7.88,3.71,3.71,94.59,44.52,5490.11,9459.45,2026.07.06 21:46:58,1.14434,STOP,-44.52,-1.000
23,P2_EURUSD_1783386000,SELL,2026.07.07 00:50:00,2026.07.07 00:55:00,2026.07.07 01:00:00,2026.07.07 01:00:00,2026.07.07 01:05:00,1.14440,1.14461,1.14429,1.14429,1.14466,1.14355,2.54,2.54,2.54,94.15,93.98,2906.50,9414.93,2026.07.07 02:01:09,1.14466,STOP,-93.98,-1.000
24,P2_EURUSD_1783389900,SELL,2026.07.07 01:55:00,2026.07.07 02:00:00,2026.07.07 02:05:00,2026.07.07 02:05:00,2026.07.07 02:10:00,1.14453,1.14483,1.14460,1.14460,1.14488,1.14404,3.32,3.32,3.32,93.21,92.96,4600.14,9320.95,2026.07.07 03:11:43,1.14404,TARGET,185.92,2.000
25,P1_EURUSD_1783395000,BUY,2026.07.07 03:20:00,2026.07.07 03:25:00,2026.07.07 03:30:00,2026.07.07 03:30:00,2026.07.07 03:35:00,1.14388,1.14381,1.14397,1.14397,1.14376,1.14439,4.52,4.52,4.52,95.07,94.92,7512.23,9506.87,2026.07.07 03:41:52,1.14372,STOP,-113.00,-1.190
26,P1_EURUSD_1783402200,BUY,2026.07.07 05:20:00,2026.07.07 05:25:00,2026.07.07 05:30:00,2026.07.07 05:30:00,2026.07.07 05:35:00,1.14420,1.14415,1.14422,1.14422,1.14410,1.14446,7.82,3.70,3.70,93.94,44.40,5467.23,9393.87,2026.07.07 05:42:18,1.14410,STOP,-44.40,-1.000
27,P1_EURUSD_1783406700,BUY,2026.07.07 06:35:00,2026.07.07 06:40:00,2026.07.07 06:45:00,2026.07.07 06:45:00,2026.07.07 06:50:00,1.14382,1.14361,1.14369,1.14369,1.14356,1.14395,7.19,3.83,3.83,93.49,49.79,5760.67,9349.47,2026.07.07 07:21:43,1.14355,STOP,-53.62,-1.077
28,P1_EURUSD_1783412700,BUY,2026.07.07 08:15:00,2026.07.07 08:20:00,2026.07.07 08:25:00,2026.07.07 08:25:00,2026.07.07 08:30:00,1.14320,1.14292,1.14308,1.14308,1.14287,1.14350,4.42,4.42,4.42,92.96,92.82,7157.24,9295.85,2026.07.07 08:45:45,1.14284,STOP,-106.08,-1.143
29,P1_EURUSD_1783420200,BUY,2026.07.07 10:20:00,2026.07.07 10:25:00,2026.07.07 10:30:00,2026.07.07 10:30:00,2026.07.07 10:35:00,1.14266,1.14264,1.14302,1.14304,1.14259,1.14394,2.04,2.04,2.04,91.90,91.80,2331.80,9189.77,2026.07.07 10:54:59,1.14259,STOP,-91.80,-1.000
30,P1_EURUSD_1783422000,BUY,2026.07.07 10:50:00,2026.07.07 10:55:00,2026.07.07 11:00:00,2026.07.07 11:00:00,2026.07.07 11:05:00,1.14259,1.14248,1.14271,1.14271,1.14243,1.14327,3.24,3.24,3.24,90.98,90.72,4404.76,9097.97,2026.07.07 11:22:28,1.14327,TARGET,181.44,2.000
31,P1_EURUSD_1783425300,BUY,2026.07.07 11:45:00,2026.07.07 11:50:00,2026.07.07 11:55:00,2026.07.07 11:55:00,2026.07.07 12:00:00,1.14303,1.14274,1.14280,1.14281,1.14269,1.14305,7.73,3.68,3.68,92.79,44.16,5411.08,9279.41,2026.07.07 12:01:08,1.14269,STOP,-44.16,-1.000
32,P2_EURUSD_1783430400,SELL,2026.07.07 13:10:00,2026.07.07 13:15:00,2026.07.07 13:20:00,2026.07.07 13:20:00,2026.07.07 13:25:00,1.14290,1.14303,1.14296,1.14296,1.14308,1.14272,7.69,3.67,3.67,92.35,44.04,5389.33,9235.25,2026.07.07 13:32:21,1.14308,STOP,-44.04,-1.000
33,P2_EURUSD_1783432800,SELL,2026.07.07 13:50:00,2026.07.07 13:55:00,2026.07.07 14:00:00,2026.07.07 14:00:00,2026.07.07 14:05:00,1.14327,1.14344,1.14336,1.14336,1.14349,1.14310,7.07,3.79,3.79,91.91,49.27,5666.67,9191.21,2026.07.07 14:06:35,1.14350,STOP,-53.06,-1.077
34,P2_EURUSD_1783434000,SELL,2026.07.07 14:10:00,2026.07.07 14:15:00,2026.07.07 14:20:00,2026.07.07 14:20:00,2026.07.07 14:25:00,1.14345,1.14366,1.14360,1.14360,1.14371,1.14338,8.30,3.51,3.51,91.38,38.61,5028.07,9138.15,2026.07.07 14:25:33,1.14371,STOP,-38.61,-1.000
35,P1_EURUSD_1783436100,BUY,2026.07.07 14:45:00,2026.07.07 14:50:00,2026.07.07 14:55:00,2026.07.07 14:55:00,2026.07.07 15:00:00,1.14315,1.14253,1.14326,1.14326,1.14248,1.14482,1.16,1.16,1.16,91.00,90.48,1326.18,9099.54,2026.07.07 17:11:17,1.14246,STOP,-92.80,-1.026
36,P1_EURUSD_1783444200,BUY,2026.07.07 17:00:00,2026.07.07 17:05:00,2026.07.07 17:10:00,2026.07.07 17:10:00,2026.07.07 17:15:00,1.14276,1.14249,1.14267,1.14266,1.14244,1.14310,4.09,4.09,4.09,90.07,89.98,6346.96,9006.74,2026.07.07 17:22:13,1.14310,TARGET,179.96,2.000
37,P2_EURUSD_1783446900,SELL,2026.07.07 17:45:00,2026.07.07 17:50:00,2026.07.07 17:55:00,2026.07.07 17:55:00,2026.07.07 18:00:00,1.14353,1.14372,1.14332,1.14332,1.14377,1.14242,2.04,2.04,2.04,91.87,91.80,2332.37,9186.70,2026.07.07 18:54:48,1.14242,TARGET,183.60,2.000
38,P1_EURUSD_1783450800,BUY,2026.07.07 18:50:00,2026.07.07 18:55:00,2026.07.07 19:00:00,2026.07.07 19:00:00,2026.07.07 19:05:00,1.14238,1.14221,1.14236,1.14236,1.14216,1.14276,4.68,4.68,4.68,93.70,93.60,8038.73,9370.30,2026.07.07 19:07:37,1.14215,STOP,-98.28,-1.050
39,P2_EURUSD_1783454700,SELL,2026.07.07 19:55:00,2026.07.07 20:00:00,2026.07.07 20:05:00,2026.07.07 20:05:00,2026.07.07 20:10:00,1.14239,1.14254,1.14250,1.14250,1.14259,1.14232,10.30,3.32,3.32,92.72,29.88,4586.20,9272.02,2026.07.07 20:12:28,1.14232,TARGET,59.76,2.000
40,P2_EURUSD_1783458000,SELL,2026.07.07 20:50:00,2026.07.07 20:55:00,2026.07.07 21:00:00,2026.07.07 21:00:00,2026.07.07 21:05:00,1.14278,1.14295,1.14277,1.14277,1.14300,1.14231,4.05,4.05,4.05,93.32,93.15,6256.44,9331.78,2026.07.07 21:23:39,1.14300,STOP,-93.15,-1.000
41,P1_EURUSD_1783461300,BUY,2026.07.07 21:45:00,2026.07.07 21:50:00,2026.07.07 21:55:00,2026.07.07 21:55:00,2026.07.07 22:00:00,1.14229,1.14174,1.14186,1.14186,1.14169,1.14220,5.43,4.49,4.49,92.39,76.33,7380.85,9238.63,2026.07.07 22:00:44,1.14169,STOP,-76.33,-1.000
42,P1_EURUSD_1783462500,BUY,2026.07.07 22:05:00,2026.07.07 22:10:00,2026.07.07 22:15:00,2026.07.07 22:15:00,2026.07.07 22:20:00,1.14134,1.14112,1.14116,1.14117,1.14107,1.14137,9.16,3.41,3.41,91.62,34.10,4782.78,9162.30,2026.07.07 22:20:42,1.14107,STOP,-34.10,-1.000
43,P1_EURUSD_1783466400,BUY,2026.07.07 23:10:00,2026.07.07 23:15:00,2026.07.07 23:20:00,2026.07.07 23:20:00,2026.07.07 23:25:00,1.14138,1.14122,1.14144,1.14143,1.14117,1.14195,3.51,3.51,3.51,91.28,91.26,5012.84,9128.20,2026.07.07 23:35:52,1.14117,STOP,-91.26,-1.000
44,P1_EURUSD_1783467600,BUY,2026.07.07 23:30:00,2026.07.07 23:35:00,2026.07.07 23:40:00,2026.07.07 23:40:00,2026.07.07 23:45:00,1.14119,1.14109,1.14120,1.14121,1.14104,1.14155,5.31,4.47,4.47,90.37,75.99,7303.63,9036.94,2026.07.07 23:56:16,1.14104,STOP,-75.99,-1.000
