provider,dir,t_level,t_available,t_S,t_J,t_E,level,sweep,entry,age_bars,res_x1,res_x5,res_x15,risk_x1,risk_x5,risk_x15
0,SELL,2023.12.29 23:55:00,2024.01.02 00:00:00,2024.01.02 00:00:00,2024.01.02 00:05:00,2024.01.02 00:10:00,1.10392,1.10437,1.10420,0.0,2,2,2,18.0,22.0,32.0
0,BUY,2024.01.02 00:45:00,2024.01.02 00:50:00,2024.01.02 01:00:00,2024.01.02 01:05:00,2024.01.02 01:10:00,1.10411,1.10403,1.10406,2.0,2,2,2,4.0,8.0,18.0
0,BUY,2024.01.02 01:10:00,2024.01.02 01:15:00,2024.01.02 01:15:00,2024.01.02 01:20:00,2024.01.02 01:25:00,1.10380,1.10371,1.10379,0.0,2,2,2,9.0,13.0,23.0
0,BUY,2024.01.02 01:15:00,2024.01.02 01:20:00,2024.01.02 01:30:00,2024.01.02 01:35:00,2024.01.02 01:40:00,1.10371,1.10360,1.10385,2.0,2,2,2,26.0,30.0,40.0
0,BUY,2024.01.02 01:30:00,2024.01.02 01:35:00,2024.01.02 01:45:00,2024.01.02 01:50:00,2024.01.02 01:55:00,1.10360,1.10354,1.10370,2.0,2,2,1,17.0,21.0,31.0
0,BUY,2024.01.02 01:45:00,2024.01.02 01:50:00,2024.01.02 02:25:00,2024.01.02 02:30:00,2024.01.02 02:35:00,1.10354,1.10340,1.10361,7.0,1,1,2,22.0,26.0,36.0
0,SELL,2024.01.02 01:35:00,2024.01.02 01:40:00,2024.01.02 03:00:00,2024.01.02 03:05:00,2024.01.02 03:10:00,1.10385,1.10406,1.10402,16.0,2,2,2,5.0,9.0,19.0
0,SELL,2024.01.02 02:50:00,2024.01.02 02:55:00,2024.01.02 03:05:00,2024.01.02 03:10:00,2024.01.02 03:15:00,1.10381,1.10432,1.10388,2.0,2,1,1,45.0,49.0,59.0
0,SELL,2024.01.02 03:00:00,2024.01.02 03:05:00,2024.01.02 03:15:00,2024.01.02 03:20:00,2024.01.02 03:25:00,1.10406,1.10430,1.10419,2.0,1,1,1,12.0,16.0,26.0
0,BUY,2024.01.02 03:35:00,2024.01.02 03:40:00,2024.01.02 03:55:00,2024.01.02 04:00:00,2024.01.02 04:05:00,1.10368,1.10340,1.10357,3.0,2,2,2,18.0,22.0,32.0
