id,dir,entry,stop,risk,spread_pips,pl,R
1,SELL,1.27212,1.27411,97.51,0.500,-97.51,-1.000
2,SELL,1.27337,1.27537,98.00,0.200,-98.00,-1.000
3,BUY,1.26755,1.26555,98.00,0.100,-98.98,-1.010
4,SELL,1.26578,1.26778,96.00,0.100,194.40,2.025
5,BUY,1.26192,1.25992,98.00,0.100,199.33,2.034
6,BUY,1.26621,1.26421,100.00,0.300,199.70,1.997
7,SELL,1.26898,1.27097,101.49,0.100,-101.49,-1.000
8,SELL,1.26916,1.27116,100.00,0.100,198.90,1.989
9,BUY,1.26556,1.26358,100.98,0.100,-101.49,-1.005
10,SELL,1.26309,1.26509,102.00,0.100,-103.02,-1.010
11,BUY,1.26596,1.26396,100.00,0.100,203.00,2.030
12,BUY,1.27037,1.26840,100.47,0.100,209.10,2.081
13,BUY,1.27638,1.27438,106.00,0.100,-106.00,-1.000
14,BUY,1.27361,1.27161,104.00,0.100,-104.00,-1.000
15,BUY,1.27105,1.26905,102.00,0.300,-106.69,-1.046
16,BUY,1.27131,1.26943,95.88,0.100,210.12,2.191
17,SELL,1.27484,1.27683,103.48,0.300,208.94,2.019
18,BUY,1.27116,1.26916,106.00,0.100,-109.18,-1.030
19,BUY,1.27153,1.26953,104.00,0.300,-105.56,-1.015
20,BUY,1.26954,1.26754,104.00,0.300,207.90,1.999
21,BUY,1.27228,1.27028,106.00,0.100,211.68,1.997
22,BUY,1.27417,1.27217,108.00,0.100,223.02,2.065
23,SELL,1.27252,1.27452,110.00,0.100,-111.10,-1.010
24,SELL,1.27563,1.27763,110.00,0.300,-111.21,-1.011
25,SELL,1.27756,1.27956,108.00,0.500,216.00,2.000
26,BUY,1.27323,1.27123,110.00,0.100,222.75,2.025
27,BUY,1.27733,1.27533,112.00,0.100,-112.00,-1.000
28,SELL,1.27387,1.27587,112.00,0.300,-123.31,-1.101
29,BUY,1.27399,1.27201,108.90,0.500,-108.90,-1.000
30,SELL,1.27197,1.27391,106.70,0.100,-106.70,-1.000
31,BUY,1.27272,1.27072,108.00,0.100,-108.11,-1.001
32,SELL,1.26981,1.27181,106.00,0.500,212.00,2.000
33,BUY,1.26569,1.26370,109.45,0.100,-109.45,-1.000
34,SELL,1.26444,1.26638,104.76,0.100,-104.76,-1.000
35,SELL,1.26485,1.26685,106.00,0.100,-110.24,-1.040
36,BUY,1.26701,1.26501,106.00,0.100,-106.00,-1.000
37,SELL,1.26278,1.26478,104.00,0.300,-106.18,-1.021
38,SELL,1.26565,1.26765,104.00,0.100,-106.08,-1.020
39,BUY,1.26761,1.26561,102.00,0.100,-112.20,-1.100
40,SELL,1.26486,1.26686,102.00,0.100,-102.00,-1.000
41,BUY,1.26779,1.26579,100.00,0.500,-100.00,-1.000
