id,dir,entry,stop,risk,pl,R
1,BUY,1.27300,1.27100,98.00,-98.00,-1.000
2,SELL,1.27200,1.27400,98.00,-98.00,-1.000
3,BUY,1.27300,1.27100,98.00,-98.00,-1.000
4,BUY,1.27099,1.26900,97.51,-97.51,-1.000
5,BUY,1.26800,1.26600,98.00,-98.49,-1.005
6,SELL,1.26600,1.26800,98.00,196.00,2.000
7,BUY,1.26197,1.26000,96.53,197.37,2.045
8,BUY,1.26700,1.26500,98.00,195.71,1.997
9,SELL,1.27200,1.27400,98.00,196.00,2.000
10,SELL,1.26801,1.27000,97.51,-97.51,-1.000
11,BUY,1.27000,1.26800,98.00,-98.00,-1.000
12,BUY,1.26800,1.26600,98.00,-98.10,-1.001
13,BUY,1.26600,1.26400,98.00,-99.96,-1.020
14,BUY,1.26299,1.26100,97.51,197.47,2.025
15,BUY,1.26600,1.26400,98.00,196.49,2.005
16,BUY,1.27000,1.26800,98.00,196.98,2.010
17,SELL,1.27403,1.27600,96.53,-98.49,-1.020
18,BUY,1.27600,1.27400,98.00,-98.98,-1.010
19,BUY,1.27499,1.27300,97.51,-98.98,-1.015
20,BUY,1.27199,1.27000,97.51,-97.61,-1.001
21,BUY,1.27000,1.26800,98.00,-98.00,-1.000
22,SELL,1.26800,1.27000,98.00,-98.00,-1.000
23,BUY,1.27000,1.26800,98.00,196.49,2.005
24,BUY,1.27400,1.27200,98.00,-98.10,-1.001
25,BUY,1.27100,1.26900,98.00,-98.00,-1.000
26,SELL,1.27100,1.27300,98.00,-99.08,-1.011
27,BUY,1.27298,1.27100,97.02,197.18,2.032
28,BUY,1.27600,1.27400,98.00,-98.00,-1.000
29,BUY,1.27400,1.27200,98.00,201.88,2.060
30,SELL,1.27312,1.27500,92.12,-92.12,-1.000
31,BUY,1.27400,1.27200,98.00,-98.00,-1.000
32,SELL,1.27200,1.27400,98.00,-98.00,-1.000
33,SELL,1.27401,1.27600,97.51,197.47,2.025
34,SELL,1.27100,1.27300,98.00,-98.00,-1.000
35,BUY,1.27300,1.27100,98.00,195.90,1.999
36,BUY,1.27700,1.27500,98.00,-98.49,-1.005
37,BUY,1.27500,1.27300,98.00,-98.00,-1.000
38,SELL,1.27303,1.27500,96.53,-105.35,-1.091
39,BUY,1.27498,1.27300,97.02,-108.39,-1.117
40,BUY,1.27399,1.27200,97.51,-97.51,-1.000
41,SELL,1.27301,1.27500,97.51,195.41,2.004
42,BUY,1.26799,1.26600,97.51,-97.51,-1.000
43,BUY,1.26499,1.26300,97.51,-97.51,-1.000
44,BUY,1.26297,1.26100,96.53,199.43,2.066
45,BUY,1.26597,1.26400,96.53,-97.02,-1.005
46,SELL,1.26500,1.26700,98.00,-98.00,-1.000
47,SELL,1.26701,1.26900,97.51,196.49,2.015
48,SELL,1.26401,1.26600,97.51,195.41,2.004
49,SELL,1.26104,1.26300,96.04,-100.45,-1.046
50,SELL,1.26600,1.26800,98.00,-98.00,-1.000
51,SELL,1.26903,1.27100,96.53,197.47,2.046
52,SELL,1.26500,1.26700,98.00,-98.98,-1.010
53,SELL,1.26700,1.26900,98.00,-125.73,-1.283
54,BUY,1.26783,1.26600,89.67,-91.14,-1.016
55,BUY,1.26700,1.26500,98.00,-99.47,-1.015
56,BUY,1.26498,1.26300,97.02,196.98,2.030
57,BUY,1.26799,1.26600,97.51,196.29,2.013
58,BUY,1.27198,1.27000,97.02,-97.02,-1.000
59,BUY,1.26999,1.26800,97.51,196.39,2.014
60,BUY,1.27400,1.27200,98.00,-98.00,-1.000
61,BUY,1.27199,1.27000,97.51,-97.51,-1.000
62,SELL,1.27101,1.27300,97.51,196.49,2.015
63,BUY,1.26599,1.26400,97.51,196.88,2.019
64,SELL,1.27001,1.27200,97.51,-98.49,-1.010
65,SELL,1.27300,1.27500,98.00,-98.98,-1.010
66,SELL,1.27600,1.27800,98.00,196.49,2.005
67,SELL,1.27201,1.27400,97.51,-100.74,-1.033
68,SELL,1.27403,1.27600,96.53,199.92,2.071
69,BUY,1.27199,1.27000,97.51,-97.51,-1.000
70,SELL,1.27001,1.27200,97.51,-105.45,-1.081
71,SELL,1.27101,1.27300,97.51,-97.51,-1.000
72,BUY,1.27300,1.27100,98.00,-98.98,-1.010
73,BUY,1.27100,1.26900,98.00,-122.11,-1.246
74,BUY,1.27000,1.26800,98.00,-98.00,-1.000
75,BUY,1.26695,1.26500,95.55,198.94,2.082
76,BUY,1.27100,1.26900,98.00,-98.10,-1.001
77,SELL,1.26900,1.27100,98.00,196.00,2.000
78,BUY,1.26599,1.26400,97.51,196.98,2.020
79,BUY,1.26900,1.26700,98.00,-98.00,-1.000
80,BUY,1.26699,1.26500,97.51,196.98,2.020
81,SELL,1.27104,1.27300,96.04,-96.04,-1.000
82,SELL,1.27400,1.27600,98.00,197.96,2.020
83,BUY,1.26998,1.26800,97.02,-97.02,-1.000
84,BUY,1.26698,1.26500,97.02,-97.31,-1.003
85,SELL,1.26501,1.26700,97.51,-97.51,-1.000
86,BUY,1.26698,1.26500,97.02,-115.64,-1.192
