sample,base_tf_min,q,n,VR,z,verdict
ALL,1,2,371354,0.98647,-2.797,REVERSION
ALL,1,4,371354,0.97125,-3.223,REVERSION
ALL,1,8,371354,0.95356,-3.490,REVERSION
ALL,1,16,371354,0.92901,-3.962,REVERSION
ALL,1,32,371354,0.90976,-3.852,REVERSION
ALL,1,64,371354,0.89713,-3.395,REVERSION
VOL_ALTA,1,2,185646,0.99204,-1.382,RANDOM_WALK
VOL_ALTA,1,4,185646,0.97985,-1.895,RANDOM_WALK
VOL_ALTA,1,8,185646,0.96455,-2.235,REVERSION
VOL_ALTA,1,16,185646,0.94251,-2.692,REVERSION
VOL_ALTA,1,32,185646,0.92889,-2.547,REVERSION
VOL_ALTA,1,64,185646,0.92558,-2.063,REVERSION
VOL_BAJA,1,2,185648,0.96635,-7.810,REVERSION
VOL_BAJA,1,4,185648,0.93175,-9.323,REVERSION
VOL_BAJA,1,8,185648,0.89509,-9.937,REVERSION
VOL_BAJA,1,16,185648,0.86509,-9.459,REVERSION
VOL_BAJA,1,32,185648,0.85105,-7.892,REVERSION
VOL_BAJA,1,64,185648,0.83157,-6.691,REVERSION
