sample,base_tf_min,q,n,VR,z,verdict
SIGMA_PIPS,5,-,74371,3.0954,-,-
ALL,5,2,74371,0.97770,-3.114,REVERSION
ALL,5,4,74371,0.95341,-3.496,REVERSION
ALL,5,8,74371,0.93346,-3.264,REVERSION
ALL,5,16,74371,0.92721,-2.521,REVERSION
ALL,5,32,74371,0.96222,-0.962,RANDOM_WALK
ALL,5,64,74371,1.00017,0.003,RANDOM_WALK
VOL_ALTA,5,2,37155,0.98041,-2.151,REVERSION
VOL_ALTA,5,4,37155,0.96312,-2.191,REVERSION
VOL_ALTA,5,8,37155,0.94365,-2.204,REVERSION
VOL_ALTA,5,16,37155,0.94726,-1.455,RANDOM_WALK
VOL_ALTA,5,32,37155,1.00294,0.060,RANDOM_WALK
VOL_ALTA,5,64,37155,1.04378,0.685,RANDOM_WALK
VOL_BAJA,5,2,37156,0.97325,-3.884,REVERSION
VOL_BAJA,5,4,37156,0.93224,-5.166,REVERSION
VOL_BAJA,5,8,37156,0.90631,-4.598,REVERSION
VOL_BAJA,5,16,37156,0.86772,-4.619,REVERSION
VOL_BAJA,5,32,37156,0.83934,-4.113,REVERSION
VOL_BAJA,5,64,37156,0.84770,-2.931,REVERSION
