symbol,digits,bars,avg_spread_pips,sigma_M5_pips,ratio_spread_sigma,edge_needed_pips,verdict
EURUSD,5,19999,0.0000,2.2790,0.0000,0.2562,POSIBLE
GBPUSD,5,19999,0.1000,3.0371,0.0329,0.3414,POSIBLE
USDJPY,3,19999,0.3000,6.7718,0.0443,0.7612,POSIBLE
USDCHF,5,19999,0.0000,2.4526,0.0000,0.2757,POSIBLE
AUDUSD,5,19999,0.0000,2.0617,0.0000,0.2317,POSIBLE
USDCAD,5,19999,0.1000,2.2399,0.0446,0.2518,POSIBLE
NZDUSD,5,19999,0.0000,1.9342,0.0000,0.2174,POSIBLE
EURGBP,5,19999,0.2000,1.1043,0.1811,0.1241,no cubre
EURJPY,3,19999,0.4000,4.5070,0.0888,0.5066,POSIBLE
GBPJPY,3,19999,1.5000,5.6885,0.2637,0.6394,no cubre
XAUUSD,2,19999,53.0000,388.4685,0.1364,43.6639,no cubre
