t_trigger,dir,impulse_pips,outcome,mfe_pips,mae_pips,secs_to_mfe,secs_total
2024.01.02 10:02:23,UP,10.1,2,13.2,-20.0,679,7616
2024.01.03 17:00:07,UP,10.0,2,11.2,-20.1,259,2269
2024.01.03 21:18:43,UP,10.0,1,20.0,-1.9,791,791
2024.01.04 00:00:00,DOWN,-13.8,2,1.8,-20.0,88,6844
2024.01.04 15:31:48,DOWN,-10.1,2,5.8,-20.3,72,5559
2024.01.04 17:04:27,UP,13.9,2,6.1,-20.1,2512,45701
2024.01.05 15:30:01,DOWN,-11.3,1,20.3,0.0,9,9
2024.01.05 15:42:45,UP,10.1,1,20.0,-4.5,1277,1277
2024.01.05 16:04:46,UP,10.1,1,20.0,-6.9,2751,2751
2024.01.05 17:00:00,UP,11.4,1,20.0,0.0,72,72
2024.01.05 17:15:56,DOWN,-10.1,1,20.0,-19.0,6093,6093
2024.01.10 09:59:20,DOWN,-10.0,2,4.8,-20.0,137,4292
2024.01.10 17:34:49,UP,10.2,1,20.0,-4.9,33083,33083
2024.01.11 15:30:00,UP,10.6,2,1.6,-42.1,0,2
2024.01.11 15:35:59,UP,10.1,2,6.7,-20.0,43,307
2024.01.11 15:41:07,DOWN,-10.2,1,20.0,-11.2,1236,1236
2024.01.11 16:13:30,UP,10.1,1,20.1,-5.0,1296,1296
2024.01.11 16:42:31,DOWN,-10.0,1,20.1,-5.7,1941,1941
2024.01.11 17:19:38,UP,10.1,1,20.0,-0.7,1489,1489
2024.01.11 17:54:52,DOWN,-10.1,2,7.5,-20.0,3702,10874
2024.01.12 00:02:00,DOWN,-10.3,2,0.0,-20.0,0,6376
2024.01.12 15:30:02,UP,10.1,1,20.0,-16.0,4399,4399
2024.01.12 18:39:19,DOWN,-10.2,3,14.4,-5.0,4135,192041
2024.01.16 10:21:52,UP,10.2,2,0.8,-20.0,1,718
2024.01.16 10:34:15,DOWN,-10.2,1,20.1,-5.3,7642,7642
2024.01.16 15:30:01,UP,10.5,2,10.1,-20.0,766,4855
2024.01.16 18:00:26,DOWN,-10.0,1,20.0,-18.8,51192,51192
2024.01.17 09:36:39,DOWN,-10.1,2,0.9,-20.0,17,2235
2024.01.17 15:30:03,DOWN,-10.0,2,15.7,-20.1,8614,26452
2024.01.18 15:30:00,DOWN,-12.9,2,0.7,-20.1,0,310
2024.01.18 15:38:12,DOWN,-10.1,2,13.7,-20.1,8368,37280
2024.01.23 17:24:35,DOWN,-10.1,2,15.9,-20.0,1212,27648
2024.01.24 10:30:37,DOWN,-10.2,2,0.8,-20.0,45,2280
2024.01.24 11:32:32,UP,10.0,1,20.0,-10.6,14396,14396
2024.01.24 16:45:00,DOWN,-12.5,1,20.0,-7.1,4111,4111
2024.01.25 15:30:02,DOWN,-12.8,2,5.7,-20.1,10,167
2024.01.25 15:54:32,DOWN,-10.1,1,20.0,-5.9,1006,1006
2024.01.25 16:13:29,UP,10.2,2,4.6,-20.0,913,3178
2024.01.25 19:16:03,UP,10.0,2,4.8,-20.0,216,6325
2024.01.26 09:19:59,DOWN,-10.1,2,2.6,-20.0,1539,5017
2024.01.26 12:04:08,UP,10.1,1,20.1,-1.8,4765,4765
2024.01.26 15:30:09,UP,10.2,2,1.0,-20.1,1,184
2024.01.26 15:44:45,UP,10.0,2,11.7,-20.0,264,28310
2024.01.29 00:01:00,DOWN,-11.3,1,20.0,-8.2,43264,43264
2024.01.29 16:14:30,DOWN,-10.0,2,14.9,-20.1,6466,20854
2024.01.29 22:02:04,UP,11.9,1,20.7,-19.2,66438,66438
2024.01.30 17:00:01,DOWN,-10.4,1,20.0,-8.5,41209,41209
2024.01.31 09:45:12,DOWN,-10.2,2,1.9,-20.0,204,4633
2024.01.31 11:02:36,UP,10.1,1,20.0,-7.7,15145,15145
2024.01.31 15:15:01,UP,10.4,1,20.0,-7.5,4724,4724
2024.01.31 21:00:04,UP,10.3,2,1.9,-25.8,1,3
2024.01.31 21:31:42,UP,10.1,1,20.1,-10.6,669,669
2024.01.31 21:52:14,DOWN,-10.2,1,20.0,-7.5,588,588
2024.01.31 22:02:02,DOWN,-15.1,1,20.0,-2.0,97,97
2024.02.01 15:30:05,UP,10.4,1,20.0,-17.5,9628,9628
2024.02.02 15:30:01,DOWN,-11.0,1,20.2,0.0,9,9
2024.02.02 15:36:22,DOWN,-10.2,1,20.0,-16.3,1662,1662
2024.02.02 16:04:04,DOWN,-15.1,2,0.8,-20.2,3,2558
2024.02.02 16:46:42,UP,10.2,2,4.7,-20.0,122,1144
2024.02.05 17:00:00,DOWN,-10.3,2,9.0,-20.0,2652,52306
2024.02.07 17:53:09,DOWN,-10.4,2,7.0,-20.0,221,37196
2024.02.09 15:31:10,UP,10.2,3,13.5,-6.9,2628,203385
2024.02.13 15:30:06,DOWN,-47.4,1,20.0,-4.8,119,119
2024.02.13 15:40:46,DOWN,-10.2,1,20.1,-6.7,1194,1194
2024.02.13 16:17:51,UP,10.0,2,8.6,-20.0,4630,64702
2024.02.15 15:30:07,UP,10.3,1,20.4,-1.7,3721,3721
2024.02.15 16:32:17,UP,10.1,2,5.5,-20.0,2710,4971
2024.02.16 15:30:02,DOWN,-13.4,1,20.1,-0.1,372,372
2024.02.16 15:36:17,DOWN,-10.2,2,1.3,-20.0,194,3534
2024.02.21 21:04:15,UP,10.3,1,20.0,-11.6,43292,43292
2024.02.22 10:15:00,UP,14.0,2,14.7,-20.0,14,4354
2024.02.22 15:30:03,DOWN,-10.4,1,20.0,-8.9,4294,4294
2024.02.22 16:42:42,DOWN,-10.3,2,0.1,-20.0,3,10115
2024.02.23 02:37:01,DOWN,-10.2,2,3.2,-20.2,33476,42884
2024.02.26 00:01:00,UP,12.5,1,20.0,-18.4,48144,48144
2024.02.29 10:02:12,UP,10.1,2,17.2,-20.1,25216,28930
2024.03.01 16:48:11,DOWN,-10.0,2,2.6,-20.9,510,710
2024.03.01 17:00:02,UP,20.7,1,20.0,-13.7,1680,1680
2024.03.05 17:00:03,UP,14.2,1,20.0,-17.9,69674,69674
2024.03.07 15:15:39,DOWN,-10.2,2,16.2,-20.2,2343,4750
2024.03.08 15:30:02,DOWN,-10.0,2,11.7,-20.4,12,44
2024.03.08 15:37:38,UP,10.4,1,20.0,-3.6,358,358
2024.03.08 15:43:36,UP,12.3,2,2.1,-20.0,7,807
2024.03.08 16:08:19,DOWN,-10.0,1,20.1,-8.5,14767,14767
2024.03.12 14:30:01,DOWN,-20.9,2,12.1,-20.1,17,151
2024.03.12 14:36:01,UP,10.0,2,11.1,-20.0,331,2102
2024.03.14 14:30:04,DOWN,-10.5,1,20.1,-19.9,6505,6505
2024.03.20 20:00:02,UP,10.9,1,20.2,-8.7,2530,2530
2024.03.20 20:45:31,UP,10.2,1,20.0,-4.0,11939,11939
2024.03.21 10:15:00,DOWN,-11.3,1,20.2,-10.3,2306,2306
2024.03.28 00:00:41,DOWN,-10.2,1,20.1,-10.5,36185,36185
2024.03.28 14:59:19,UP,10.1,2,12.0,-20.0,3658,21134
2024.03.29 14:30:42,UP,10.1,3,11.8,-7.3,655,206959
2024.04.01 17:00:00,DOWN,-10.9,1,20.0,-3.7,2224,2224
2024.04.02 11:02:34,DOWN,-10.3,2,5.0,-20.0,1639,14120
2024.04.02 17:04:21,UP,10.1,1,24.9,-14.7,86139,86139
2024.04.03 17:00:00,UP,14.1,1,20.0,-5.2,3304,3304
2024.04.05 00:01:01,DOWN,-13.3,2,0.0,-20.3,0,14023
2024.04.05 15:30:01,DOWN,-10.4,1,20.9,0.0,7,7
2024.04.05 15:38:42,UP,10.1,2,0.0,-20.2,0,840
2024.04.05 16:08:14,DOWN,-10.0,2,3.5,-20.2,404,4546
2024.04.09 00:01:00,DOWN,-11.4,2,0.0,-20.1,0,46793
2024.04.10 15:30:01,DOWN,-26.8,1,20.0,0.0,14,14
2024.04.10 15:38:10,DOWN,-10.1,1,20.3,-17.6,3895,3895
2024.04.10 16:48:35,DOWN,-10.1,1,20.0,-16.4,8659,8659
2024.04.10 20:31:40,UP,10.0,2,0.7,-20.0,5,47847
2024.04.11 15:15:34,DOWN,-10.2,2,7.7,-20.3,84,1057
2024.04.11 15:33:11,UP,17.2,2,13.7,-20.0,3382,6191
2024.04.12 09:39:31,DOWN,-10.2,1,20.0,0.0,3013,3013
2024.04.15 00:01:22,DOWN,-11.2,2,1.6,-20.1,18,5415
2024.04.15 15:30:00,DOWN,-10.4,1,20.0,-18.0,8197,8197
2024.04.16 20:30:59,DOWN,-10.2,2,2.5,-20.2,61,2171
2024.04.16 21:08:01,UP,10.1,2,5.5,-20.0,31395,42576
2024.04.18 15:31:23,DOWN,-10.1,1,20.0,-6.5,21790,21790
2024.04.19 06:29:16,UP,10.0,1,20.0,-9.9,15798,15798
2024.04.23 10:18:14,UP,10.1,1,22.0,-2.5,707,707
2024.04.23 10:30:01,UP,14.9,2,14.2,-20.0,51,5947
2024.04.23 16:45:00,UP,13.4,1,20.1,0.0,43,43
2024.04.23 16:52:28,UP,10.1,3,17.9,-18.3,42405,86401
2024.04.24 17:08:43,UP,10.1,2,0.4,-20.1,2,5745
2024.04.25 15:30:11,UP,10.6,2,13.7,-20.4,5,105
2024.04.25 15:39:55,DOWN,-10.6,2,13.1,-20.4,2038,5901
2024.04.25 17:18:25,UP,10.3,1,20.0,-8.5,10287,10287
2024.04.26 11:02:20,UP,11.0,2,12.2,-20.0,2430,13590
2024.04.26 15:30:04,UP,10.5,2,12.3,-20.0,3,3566
2024.04.30 12:03:11,UP,10.2,2,14.4,-20.1,5899,12412
2024.04.30 15:30:03,DOWN,-20.9,1,20.0,-19.2,12987,12987
2024.05.01 17:00:02,UP,11.2,2,0.2,-20.0,2,9980
2024.05.01 21:00:06,UP,11.3,1,20.5,-11.4,2330,2330
2024.05.01 21:39:30,UP,11.0,1,20.0,-3.5,946,946
2024.05.01 22:19:26,DOWN,-10.3,2,19.3,-20.4,3205,40363
2024.05.02 17:03:34,DOWN,-10.1,2,2.3,-20.1,349,4336
2024.05.03 15:30:01,UP,12.4,1,21.9,0.0,1,1
2024.05.03 15:36:58,UP,10.1,2,1.7,-20.2,202,764
2024.05.03 15:52:10,DOWN,-10.2,1,20.1,-19.7,4822,4822
2024.05.09 15:31:10,UP,10.2,1,20.1,-0.5,4413,4413
2024.05.13 18:04:04,DOWN,-10.0,1,20.2,-5.3,77160,77160
2024.05.14 15:30:04,DOWN,-23.6,2,6.3,-20.1,24,130
2024.05.14 15:38:15,UP,10.3,1,20.4,-1.8,2058,2058
2024.05.15 15:30:01,UP,10.3,1,20.3,0.0,11,11
2024.05.21 16:00:43,DOWN,-10.1,1,20.0,-16.4,81469,81469
2024.05.23 10:15:00,DOWN,-11.0,2,3.7,-20.0,735,3221
2024.05.23 16:45:00,DOWN,-12.2,1,20.0,-5.7,3923,3923
2024.05.27 15:03:41,DOWN,-10.2,2,6.2,-20.0,212,46212
2024.05.29 11:02:37,DOWN,-10.1,1,20.0,-16.9,23085,23085
2024.05.30 15:34:38,UP,10.2,1,20.4,-14.4,76342,76342
2024.05.31 15:30:31,UP,10.7,2,19.8,-20.1,1698,10317
2024.06.03 17:00:00,UP,10.5,1,20.0,0.0,920,920
2024.06.04 17:00:03,UP,10.4,3,15.5,-16.2,85499,86401
2024.06.05 17:00:04,DOWN,-17.3,2,16.8,-20.1,7983,41422
2024.06.06 15:15:37,UP,10.2,1,21.0,-4.0,864,864
2024.06.06 15:30:30,UP,10.0,2,2.0,-20.0,6,682
