t_trigger,dir,impulse_pips,outcome,mfe_pips,mae_pips,secs_to_mfe,secs_total
2024.01.02 10:02:23,UP,10.1,2,13.2,-40.0,679,11692
2024.01.03 17:00:07,UP,10.0,1,40.0,-35.3,67514,67514
2024.01.04 15:31:48,DOWN,-10.1,1,41.1,-27.0,86295,86295
2024.01.05 15:30:03,DOWN,-23.6,2,20.2,-40.0,108,2147
2024.01.05 16:16:42,UP,10.2,1,40.0,-1.9,2631,2631
2024.01.05 17:00:34,UP,26.4,2,22.9,-40.0,659,11749
2024.01.10 09:59:20,DOWN,-10.0,2,4.8,-40.0,137,27994
2024.01.11 15:30:00,UP,10.6,2,1.6,-42.1,0,2
2024.01.11 15:35:59,UP,10.1,2,6.7,-40.0,43,1114
2024.01.11 15:54:33,DOWN,-13.0,2,5.6,-40.0,4822,20023
2024.01.12 00:02:00,DOWN,-10.3,3,25.5,-25.8,53896,259080
2024.01.16 10:21:52,UP,10.2,2,0.8,-40.0,1,8378
2024.01.16 15:30:01,UP,10.5,3,10.1,-32.7,766,86401
2024.01.17 15:30:03,DOWN,-10.0,2,15.7,-40.0,8614,42144
2024.01.18 15:30:00,DOWN,-12.9,3,7.5,-39.1,8860,86401
2024.01.23 17:24:35,DOWN,-10.1,2,15.9,-40.2,1212,58721
2024.01.24 10:30:37,DOWN,-10.2,2,0.8,-40.0,45,4064
2024.01.24 11:39:54,UP,10.0,3,24.7,-37.8,17419,86401
2024.01.25 15:30:02,DOWN,-12.8,1,40.0,-23.0,7431,7431
2024.01.25 19:16:03,UP,10.0,3,38.6,-34.3,72847,86401
2024.01.29 00:01:00,DOWN,-11.3,1,40.0,-8.2,62274,62274
2024.01.29 22:01:49,UP,10.1,3,28.5,-17.4,67715,86401
2024.01.31 09:45:12,DOWN,-10.2,2,1.9,-40.9,204,19789
2024.01.31 15:15:01,UP,10.4,2,37.6,-40.2,6462,24490
2024.01.31 22:03:11,DOWN,-30.8,2,29.8,-40.0,44889,73312
2024.02.02 15:30:01,DOWN,-11.0,1,40.0,0.0,57,57
2024.02.02 15:36:22,DOWN,-10.2,3,32.1,-16.3,16749,203018
2024.02.05 17:00:00,DOWN,-10.3,3,9.6,-30.4,77626,86401
2024.02.07 17:53:09,DOWN,-10.4,3,21.2,-26.3,79118,86401
2024.02.09 15:31:10,UP,10.2,3,13.5,-6.9,2628,203385
2024.02.13 15:30:06,DOWN,-47.4,1,40.2,-4.8,1159,1159
2024.02.13 15:49:25,DOWN,-12.2,3,10.6,-21.8,67593,86401
2024.02.15 15:30:07,UP,10.3,3,28.4,-9.2,6440,86401
2024.02.16 15:30:09,DOWN,-20.3,2,15.3,-40.0,562,19864
2024.02.21 21:04:15,UP,10.3,1,40.0,-11.6,47394,47394
2024.02.22 10:15:00,UP,14.0,2,14.7,-40.0,14,18900
2024.02.22 15:30:03,DOWN,-10.4,3,25.9,-11.0,4362,86401
2024.02.26 00:01:00,UP,12.5,3,28.8,-18.4,53125,86409
2024.02.29 10:02:12,UP,10.1,2,17.2,-40.0,25216,33899
2024.03.01 16:48:11,DOWN,-10.0,2,2.6,-40.1,510,2391
2024.03.05 17:00:03,UP,14.2,3,30.0,-17.9,85601,86401
2024.03.07 15:15:39,DOWN,-10.2,2,16.2,-40.1,2343,8574
2024.03.08 15:30:02,DOWN,-10.0,2,11.7,-41.0,12,76
2024.03.08 15:37:38,UP,10.4,3,22.3,-25.7,365,202942
2024.03.12 14:30:01,DOWN,-20.9,3,12.1,-33.1,17,86401
2024.03.14 14:30:04,DOWN,-10.5,1,40.0,-19.9,10266,10266
2024.03.20 20:00:02,UP,10.9,1,40.0,-8.7,3242,3242
2024.03.21 10:15:00,DOWN,-11.3,1,40.0,-14.6,24747,24747
2024.03.28 00:00:41,DOWN,-10.2,1,40.0,-10.5,42860,42860
2024.03.28 14:59:19,UP,10.1,3,12.0,-38.9,3658,86401
2024.04.01 17:00:00,DOWN,-10.9,3,37.4,-5.9,60163,86401
2024.04.02 17:04:21,UP,10.1,1,40.3,-14.7,86210,86210
2024.04.03 17:01:11,UP,27.5,1,40.0,-17.8,63503,63503
2024.04.05 00:01:01,DOWN,-13.3,3,31.7,-25.0,58437,259139
2024.04.09 00:01:00,DOWN,-11.4,3,0.0,-37.9,0,86424
2024.04.10 15:30:01,DOWN,-26.8,1,40.0,0.0,180,180
2024.04.10 15:38:10,DOWN,-10.1,1,40.0,-17.6,10951,10951
2024.04.10 20:31:40,UP,10.0,2,2.7,-40.0,71873,75265
2024.04.12 09:39:31,DOWN,-10.2,1,40.0,0.0,13288,13288
2024.04.15 00:01:22,DOWN,-11.2,3,10.6,-35.7,86393,86403
