id,dir,entry,stop,risk,pl,R
1,BUY,1.10292,1.10192,100.00,-100.00,-1.000
2,BUY,1.10174,1.10074,100.00,101.00,1.010
3,SELL,1.10275,1.10375,100.00,-100.00,-1.000
4,SELL,1.10376,1.10475,99.00,101.00,1.020
5,BUY,1.10238,1.10139,99.00,-99.00,-1.000
6,BUY,1.10136,1.10036,100.00,-100.00,-1.000
7,BUY,1.10012,1.09913,99.00,-99.00,-1.000
8,BUY,1.09913,1.09813,100.00,-100.00,-1.000
9,BUY,1.09627,1.09527,100.00,-100.00,-1.000
10,BUY,1.09527,1.09427,100.00,101.00,1.010
11,SELL,1.09632,1.09732,100.00,100.00,1.000
12,BUY,1.09531,1.09432,99.00,101.00,1.020
13,SELL,1.09636,1.09736,100.00,100.00,1.000
14,BUY,1.09519,1.09420,99.00,102.00,1.030
15,SELL,1.09621,1.09721,100.00,101.00,1.010
16,BUY,1.09503,1.09403,100.00,102.00,1.020
17,BUY,1.09531,1.09431,100.00,-100.00,-1.000
18,BUY,1.09431,1.09332,99.00,101.30,1.023
19,SELL,1.09627,1.09727,100.00,100.00,1.000
20,BUY,1.09526,1.09427,99.00,-99.00,-1.000
21,BUY,1.09427,1.09327,100.00,-100.00,-1.000
22,BUY,1.09279,1.09180,99.00,-100.00,-1.010
23,BUY,1.09160,1.09060,100.00,100.00,1.000
24,BUY,1.09199,1.09099,100.00,100.00,1.000
25,BUY,1.09232,1.09133,99.00,-99.00,-1.000
26,BUY,1.09134,1.09034,100.00,101.00,1.010
27,BUY,1.09175,1.09075,100.00,103.00,1.030
28,SELL,1.09280,1.09378,98.00,-98.00,-1.000
29,BUY,1.09296,1.09196,100.00,-100.00,-1.000
30,BUY,1.09186,1.09088,98.00,-98.00,-1.000
31,BUY,1.09088,1.08988,100.00,-101.00,-1.010
32,BUY,1.08987,1.08888,99.00,101.00,1.020
33,SELL,1.09098,1.09198,100.00,103.00,1.030
34,BUY,1.08992,1.08895,97.00,103.00,1.062
35,SELL,1.09149,1.09249,100.00,-100.00,-1.000
36,BUY,1.09151,1.09051,100.00,101.00,1.010
37,BUY,1.09158,1.09058,100.00,-104.10,-1.041
38,BUY,1.09248,1.09166,82.00,-160.00,-1.951
39,BUY,1.09225,1.09129,96.00,-105.00,-1.094
40,BUY,1.09265,1.09166,99.00,101.00,1.020
41,SELL,1.09423,1.09523,100.00,-101.00,-1.010
42,SELL,1.09538,1.09637,99.00,-99.00,-1.000
43,BUY,1.09608,1.09508,100.00,-100.00,-1.000
44,BUY,1.09492,1.09392,100.00,-101.00,-1.010
45,BUY,1.09391,1.09292,99.00,102.00,1.030
46,BUY,1.09405,1.09305,100.00,100.00,1.000
47,SELL,1.09505,1.09605,100.00,-100.00,-1.000
48,SELL,1.09605,1.09704,99.00,101.00,1.020
49,BUY,1.09504,1.09405,99.00,-100.00,-1.010
50,BUY,1.09241,1.09142,99.00,-99.00,-1.000
51,BUY,1.09118,1.09019,99.00,101.00,1.020
52,SELL,1.09277,1.09377,100.00,100.00,1.000
53,BUY,1.09177,1.09077,100.00,-100.00,-1.000
54,BUY,1.09049,1.08950,99.00,101.00,1.020
55,SELL,1.09272,1.09371,99.00,112.00,1.131
56,BUY,1.09132,1.09045,87.00,112.00,1.287
57,SELL,1.09026,1.09126,100.00,100.00,1.000
58,BUY,1.08947,1.08848,99.00,103.00,1.040
59,BUY,1.09112,1.09012,100.00,100.00,1.000
60,SELL,1.09212,1.09312,100.00,-101.00,-1.010
61,SELL,1.09313,1.09412,99.00,-99.00,-1.000
62,SELL,1.09412,1.09511,99.00,-99.00,-1.000
63,SELL,1.09511,1.09611,100.00,-101.00,-1.010
64,SELL,1.09623,1.09711,88.00,-104.00,-1.182
65,BUY,1.09832,1.09732,100.00,101.00,1.010
66,BUY,1.09871,1.09772,99.00,-100.00,-1.010
67,BUY,1.09756,1.09656,100.00,100.00,1.000
68,SELL,1.09858,1.09957,99.00,102.00,1.030
69,BUY,1.09734,1.09634,100.00,-100.00,-1.000
70,BUY,1.09633,1.09535,98.00,-98.00,-1.000
71,BUY,1.09535,1.09436,99.00,-99.00,-1.000
72,SELL,1.09485,1.09585,100.00,100.00,1.000
73,SELL,1.09448,1.09548,100.00,-100.00,-1.000
74,BUY,1.09518,1.09418,100.00,-100.00,-1.000
75,BUY,1.09576,1.09481,95.00,-204.00,-2.147
76,BUY,1.09395,1.09297,98.00,102.00,1.041
77,BUY,1.09459,1.09360,99.00,-101.00,-1.020
78,BUY,1.09334,1.09235,99.00,-99.00,-1.000
79,SELL,1.09377,1.09476,99.00,-99.00,-1.000
80,SELL,1.09484,1.09582,98.00,102.00,1.041
81,SELL,1.09432,1.09532,100.00,-101.00,-1.010
82,SELL,1.09556,1.09656,100.00,-100.00,-1.000
83,SELL,1.09693,1.09792,99.00,101.00,1.020
84,BUY,1.09528,1.09428,100.00,100.00,1.000
85,BUY,1.09508,1.09409,99.00,100.30,1.013
86,SELL,1.09542,1.09642,100.00,100.00,1.000
87,BUY,1.09441,1.09342,99.00,-100.00,-1.010
88,BUY,1.09341,1.09241,100.00,100.00,1.000
89,SELL,1.09446,1.09546,100.00,100.00,1.000
90,SELL,1.09423,1.09523,100.00,100.00,1.000
91,BUY,1.09296,1.09196,100.00,-100.00,-1.000
92,BUY,1.09118,1.09019,99.00,102.00,1.030
93,SELL,1.09250,1.09350,100.00,-100.00,-1.000
94,SELL,1.09376,1.09476,100.00,102.00,1.020
95,BUY,1.09304,1.09207,97.00,104.00,1.072
96,SELL,1.09449,1.09549,100.00,100.00,1.000
97,BUY,1.09325,1.09226,99.00,101.00,1.020
98,SELL,1.09472,1.09572,100.00,100.00,1.000
99,SELL,1.09383,1.09482,99.00,-99.00,-1.000
100,SELL,1.09522,1.09621,99.00,-99.00,-1.000
101,SELL,1.09633,1.09733,100.00,100.00,1.000
102,BUY,1.09662,1.09564,98.00,99.90,1.019
103,BUY,1.09738,1.09638,100.00,-100.00,-1.000
104,BUY,1.09625,1.09525,100.00,100.00,1.000
105,SELL,1.09824,1.09922,98.00,-100.00,-1.020
106,SELL,1.09988,1.10060,72.00,421.00,5.847
107,BUY,1.09600,1.09502,98.00,103.00,1.051
108,BUY,1.09595,1.09495,100.00,-101.00,-1.010
109,BUY,1.09476,1.09376,100.00,-101.00,-1.010
110,BUY,1.09374,1.09276,98.00,102.00,1.041
111,SELL,1.09477,1.09576,99.00,-99.00,-1.000
112,SELL,1.09594,1.09693,99.00,-99.00,-1.000
113,SELL,1.09697,1.09797,100.00,102.00,1.020
114,BUY,1.09550,1.09451,99.00,-99.00,-1.000
115,SELL,1.09556,1.09655,99.00,101.00,1.020
116,BUY,1.09455,1.09355,100.00,-100.00,-1.000
117,BUY,1.09355,1.09256,99.00,101.00,1.020
118,SELL,1.09488,1.09588,100.00,-100.00,-1.000
119,SELL,1.09620,1.09720,100.00,101.00,1.010
120,BUY,1.09488,1.09390,98.00,-99.00,-1.010
121,SELL,1.09475,1.09574,99.00,-99.00,-1.000
122,SELL,1.09699,1.09798,99.00,-99.00,-1.000
123,SELL,1.09795,1.09895,100.00,100.00,1.000
124,BUY,1.09695,1.09595,100.00,-103.00,-1.030
125,BUY,1.09592,1.09493,99.00,103.00,1.040
126,SELL,1.09698,1.09798,100.00,-143.00,-1.430
127,BUY,1.09741,1.09740,1.00,-118.00,-118.000
128,SELL,1.09743,1.09838,95.00,-95.00,-1.000
129,BUY,1.09707,1.09607,100.00,100.00,1.000
130,BUY,1.09722,1.09623,99.00,-99.00,-1.000
131,BUY,1.09614,1.09514,100.00,-100.00,-1.000
132,BUY,1.09372,1.09273,99.00,101.00,1.020
133,SELL,1.09511,1.09611,100.00,-102.00,-1.020
134,SELL,1.09623,1.09723,100.00,101.00,1.010
135,BUY,1.09521,1.09422,99.00,101.00,1.020
136,SELL,1.09622,1.09722,100.00,-100.00,-1.000
137,SELL,1.09730,1.09830,100.00,-103.00,-1.030
138,SELL,1.09833,1.09932,99.00,102.00,1.030
139,SELL,1.09808,1.09907,99.00,101.00,1.020
140,BUY,1.09685,1.09585,100.00,-101.00,-1.010
141,BUY,1.09505,1.09451,54.00,-65.00,-1.204
142,BUY,1.09594,1.09494,100.00,-100.00,-1.000
143,BUY,1.09469,1.09370,99.00,-100.00,-1.010
144,SELL,1.09568,1.09668,100.00,100.00,1.000
145,BUY,1.09447,1.09347,100.00,-102.70,-1.027
146,BUY,1.09252,1.09153,99.00,-100.00,-1.010
147,BUY,1.09227,1.09127,100.00,-100.00,-1.000
148,BUY,1.09119,1.09020,99.00,101.00,1.020
149,BUY,1.09193,1.09094,99.00,-99.00,-1.000
150,BUY,1.09065,1.08966,99.00,-99.00,-1.000
151,BUY,1.08965,1.08866,99.00,102.00,1.030
152,BUY,1.08997,1.08897,100.00,-100.00,-1.000
153,BUY,1.08894,1.08796,98.00,-98.00,-1.000
154,SELL,1.08809,1.08909,100.00,-100.00,-1.000
155,SELL,1.08942,1.09042,100.00,100.00,1.000
156,BUY,1.08758,1.08659,99.00,101.00,1.020
157,SELL,1.08874,1.08959,85.00,-86.00,-1.012
158,SELL,1.08976,1.09076,100.00,102.00,1.020
159,BUY,1.08841,1.08742,99.00,-101.00,-1.020
160,BUY,1.08740,1.08640,100.00,100.00,1.000
161,SELL,1.08857,1.08957,100.00,101.00,1.010
162,BUY,1.08750,1.08652,98.00,102.00,1.041
163,BUY,1.08806,1.08708,98.00,-103.00,-1.051
164,SELL,1.08775,1.08875,100.00,-100.00,-1.000
165,SELL,1.08875,1.08974,99.00,102.00,1.030
166,BUY,1.08758,1.08658,100.00,-100.00,-1.000
167,SELL,1.08716,1.08815,99.00,-155.00,-1.566
168,BUY,1.08785,1.08770,15.00,-165.00,-11.000
169,SELL,1.08845,1.08944,99.00,101.00,1.020
170,BUY,1.08684,1.08585,99.00,-100.00,-1.010
171,SELL,1.08674,1.08774,100.00,-101.00,-1.010
172,SELL,1.08775,1.08875,100.00,101.00,1.010
173,BUY,1.08671,1.08572,99.00,101.00,1.020
174,SELL,1.08818,1.08917,99.00,101.00,1.020
175,SELL,1.08766,1.08866,100.00,101.00,1.010
176,BUY,1.08684,1.08605,79.00,-79.00,-1.000
177,SELL,1.08658,1.08758,100.00,100.00,1.000
178,SELL,1.08667,1.08766,99.00,103.00,1.040
179,BUY,1.08563,1.08464,99.00,-99.00,-1.000
180,SELL,1.08541,1.08639,98.00,-98.00,-1.000
181,SELL,1.08651,1.08750,99.00,101.00,1.020
182,BUY,1.08534,1.08434,100.00,101.00,1.010
183,SELL,1.08637,1.08737,100.00,101.00,1.010
184,BUY,1.08477,1.08377,100.00,100.00,1.000
185,SELL,1.08577,1.08677,100.00,100.00,1.000
186,BUY,1.08476,1.08377,99.00,101.00,1.020
187,SELL,1.08592,1.08692,100.00,-100.00,-1.000
188,SELL,1.09033,1.09133,100.00,100.00,1.000
189,BUY,1.08801,1.08701,100.00,100.00,1.000
190,SELL,1.08939,1.09039,100.00,100.00,1.000
191,BUY,1.08892,1.08792,100.00,-100.00,-1.000
192,BUY,1.08534,1.08440,94.00,107.00,1.138
193,BUY,1.08651,1.08551,100.00,-102.00,-1.020
194,BUY,1.08549,1.08449,100.00,100.00,1.000
195,SELL,1.08655,1.08754,99.00,101.00,1.020
196,BUY,1.08512,1.08412,100.00,101.00,1.010
197,SELL,1.08657,1.08757,100.00,101.00,1.010
198,BUY,1.08555,1.08456,99.00,102.00,1.030
199,BUY,1.08569,1.08469,100.00,100.00,1.000
200,SELL,1.08669,1.08769,100.00,100.00,1.000
201,BUY,1.08569,1.08469,100.00,100.00,1.000
202,SELL,1.08677,1.08774,97.00,103.00,1.062
203,BUY,1.08574,1.08474,100.00,-102.00,-1.020
204,BUY,1.08470,1.08370,100.00,100.00,1.000
205,SELL,1.08589,1.08689,100.00,-101.00,-1.010
206,BUY,1.08569,1.08470,99.00,101.00,1.020
207,BUY,1.08779,1.08688,91.00,-131.00,-1.440
208,BUY,1.08780,1.08680,100.00,-139.00,-1.390
209,SELL,1.08711,1.08809,98.00,-98.00,-1.000
210,SELL,1.08737,1.08837,100.00,-101.00,-1.010
211,BUY,1.08776,1.08677,99.00,103.00,1.040
212,BUY,1.08777,1.08677,100.00,-100.00,-1.000
213,BUY,1.08678,1.08578,100.00,101.00,1.010
214,SELL,1.08892,1.08966,74.00,127.00,1.716
215,BUY,1.08762,1.08665,97.00,104.00,1.072
216,SELL,1.08874,1.08974,100.00,-100.00,-1.000
217,BUY,1.08930,1.08850,80.00,-97.00,-1.213
218,BUY,1.08921,1.08822,99.00,103.00,1.040
219,SELL,1.09031,1.09131,100.00,100.00,1.000
220,BUY,1.08940,1.08840,100.00,-100.00,-1.000
221,SELL,1.08985,1.09085,100.00,100.00,1.000
222,BUY,1.08846,1.08747,99.00,101.00,1.020
223,BUY,1.08865,1.08765,100.00,100.00,1.000
224,BUY,1.08896,1.08797,99.00,101.00,1.020
225,BUY,1.08863,1.08763,100.00,-101.70,-1.017
226,SELL,1.08877,1.08976,99.00,-99.00,-1.000
227,BUY,1.09083,1.08984,99.00,-99.00,-1.000
228,BUY,1.08960,1.08860,100.00,-100.00,-1.000
229,BUY,1.08741,1.08641,100.00,-100.00,-1.000
230,BUY,1.08601,1.08501,100.00,102.00,1.020
231,BUY,1.08656,1.08556,100.00,100.00,1.000
232,SELL,1.08761,1.08859,98.00,102.00,1.041
233,BUY,1.08653,1.08555,98.00,-99.00,-1.010
234,BUY,1.08543,1.08443,100.00,-100.00,-1.000
235,BUY,1.08412,1.08315,97.00,-98.00,-1.010
236,BUY,1.08277,1.08183,94.00,106.00,1.128
237,SELL,1.08384,1.08483,99.00,101.00,1.020
238,BUY,1.08294,1.08194,100.00,100.00,1.000
239,BUY,1.08546,1.08456,90.00,-127.00,-1.411
240,BUY,1.08550,1.08450,100.00,100.00,1.000
241,BUY,1.08715,1.08618,97.00,103.00,1.062
242,SELL,1.08819,1.08918,99.00,-99.00,-1.000
243,SELL,1.08938,1.09033,95.00,-95.00,-1.000
244,SELL,1.09034,1.09133,99.00,101.00,1.020
245,BUY,1.08913,1.08814,99.00,101.00,1.020
246,BUY,1.08918,1.08818,100.00,100.00,1.000
247,SELL,1.09018,1.09118,100.00,-100.00,-1.000
248,SELL,1.09170,1.09269,99.00,-99.00,-1.000
249,BUY,1.09138,1.09076,62.00,-87.00,-1.403
250,SELL,1.09125,1.09225,100.00,101.00,1.010
251,BUY,1.09024,1.08924,100.00,-101.00,-1.010
252,BUY,1.08922,1.08823,99.00,101.00,1.020
253,SELL,1.09028,1.09127,99.00,101.00,1.020
254,SELL,1.08972,1.09072,100.00,103.00,1.030
255,SELL,1.08908,1.09008,100.00,-101.00,-1.010
256,SELL,1.09009,1.09108,99.00,101.00,1.020
257,BUY,1.08871,1.08771,100.00,-101.00,-1.010
258,BUY,1.08760,1.08671,89.00,111.00,1.247
259,SELL,1.08987,1.09087,100.00,102.00,1.020
260,BUY,1.08856,1.08756,100.00,-100.00,-1.000
261,BUY,1.08737,1.08637,100.00,-100.00,-1.000
262,BUY,1.08638,1.08538,100.00,-100.00,-1.000
263,BUY,1.08538,1.08438,100.00,100.00,1.000
264,BUY,1.08561,1.08462,99.00,-99.00,-1.000
265,BUY,1.08452,1.08355,97.00,-98.00,-1.010
266,BUY,1.08335,1.08235,100.00,100.00,1.000
267,SELL,1.08435,1.08535,100.00,100.00,1.000
268,BUY,1.08335,1.08235,100.00,102.00,1.020
269,SELL,1.08437,1.08537,100.00,100.00,1.000
