id,dir,entry,stop,risk,pl,R
1,SELL,1.10437,1.10537,100.00,100.00,1.000
2,BUY,1.10292,1.10192,100.00,-100.00,-1.000
3,BUY,1.10174,1.10074,100.00,101.00,1.010
4,SELL,1.10275,1.10375,100.00,-100.00,-1.000
5,SELL,1.10375,1.10475,100.00,100.00,1.000
6,SELL,1.10349,1.10449,100.00,100.00,1.000
7,BUY,1.10239,1.10139,100.00,-100.00,-1.000
8,BUY,1.10136,1.10036,100.00,-100.00,-1.000
9,BUY,1.10013,1.09913,100.00,-100.00,-1.000
10,BUY,1.09913,1.09813,100.00,-100.00,-1.000
11,BUY,1.09627,1.09527,100.00,-100.00,-1.000
12,BUY,1.09527,1.09427,100.00,101.00,1.010
13,SELL,1.09632,1.09732,100.00,100.00,1.000
14,BUY,1.09532,1.09432,100.00,100.00,1.000
15,SELL,1.09636,1.09736,100.00,100.00,1.000
16,BUY,1.09520,1.09420,100.00,101.00,1.010
17,SELL,1.09621,1.09721,100.00,101.00,1.010
18,BUY,1.09503,1.09403,100.00,102.00,1.020
19,BUY,1.09531,1.09431,100.00,-100.00,-1.000
20,BUY,1.09432,1.09332,100.00,100.30,1.003
21,SELL,1.09627,1.09727,100.00,100.00,1.000
22,BUY,1.09527,1.09427,100.00,-100.00,-1.000
23,BUY,1.09427,1.09327,100.00,-100.00,-1.000
24,BUY,1.09280,1.09180,100.00,-101.00,-1.010
25,BUY,1.09160,1.09060,100.00,100.00,1.000
26,BUY,1.09199,1.09099,100.00,100.00,1.000
27,BUY,1.09233,1.09133,100.00,-100.00,-1.000
28,BUY,1.09134,1.09034,100.00,101.00,1.010
29,BUY,1.09175,1.09075,100.00,103.00,1.030
30,SELL,1.09278,1.09378,100.00,-100.00,-1.000
31,BUY,1.09296,1.09196,100.00,-100.00,-1.000
32,BUY,1.09188,1.09088,100.00,-100.00,-1.000
33,BUY,1.09088,1.08988,100.00,-101.00,-1.010
34,BUY,1.08988,1.08888,100.00,100.00,1.000
35,SELL,1.09098,1.09198,100.00,103.00,1.030
36,BUY,1.08995,1.08895,100.00,100.00,1.000
37,SELL,1.09149,1.09249,100.00,-100.00,-1.000
38,BUY,1.09151,1.09051,100.00,101.00,1.010
39,BUY,1.09158,1.09058,100.00,-104.10,-1.041
40,BUY,1.09266,1.09166,100.00,100.00,1.000
41,SELL,1.09423,1.09523,100.00,-101.00,-1.010
42,SELL,1.09537,1.09637,100.00,-100.00,-1.000
43,BUY,1.09608,1.09508,100.00,-100.00,-1.000
44,BUY,1.09492,1.09392,100.00,-101.00,-1.010
45,BUY,1.09392,1.09292,100.00,101.00,1.010
46,BUY,1.09405,1.09305,100.00,100.00,1.000
47,SELL,1.09505,1.09605,100.00,-100.00,-1.000
48,SELL,1.09604,1.09704,100.00,100.00,1.000
49,BUY,1.09505,1.09405,100.00,-101.00,-1.010
50,BUY,1.09242,1.09142,100.00,-100.00,-1.000
51,BUY,1.09119,1.09019,100.00,100.00,1.000
52,SELL,1.09277,1.09377,100.00,100.00,1.000
53,BUY,1.09177,1.09077,100.00,-100.00,-1.000
54,BUY,1.09069,1.08969,100.00,100.00,1.000
55,SELL,1.09271,1.09371,100.00,111.00,1.110
56,BUY,1.09145,1.09045,100.00,111.00,1.110
57,SELL,1.09026,1.09126,100.00,100.00,1.000
58,BUY,1.08948,1.08848,100.00,102.00,1.020
59,BUY,1.09112,1.09012,100.00,100.00,1.000
60,SELL,1.09212,1.09312,100.00,-101.00,-1.010
61,SELL,1.09312,1.09412,100.00,-100.00,-1.000
62,SELL,1.09411,1.09511,100.00,-100.00,-1.000
63,SELL,1.09511,1.09611,100.00,-101.00,-1.010
64,SELL,1.09611,1.09711,100.00,-116.00,-1.160
65,BUY,1.09832,1.09732,100.00,101.00,1.010
66,BUY,1.09872,1.09772,100.00,-101.00,-1.010
67,BUY,1.09756,1.09656,100.00,100.00,1.000
