id,dir,entry,stop,risk,pl,R
1,SELL,1.10451,1.10551,100.00,101.00,1.010
2,SELL,1.10427,1.10527,100.00,100.00,1.000
3,BUY,1.10327,1.10227,100.00,-100.00,-1.000
4,BUY,1.10231,1.10131,100.00,100.00,1.000
5,BUY,1.10311,1.10211,100.00,-100.00,-1.000
6,BUY,1.10192,1.10092,100.00,100.00,1.000
7,SELL,1.10292,1.10392,100.00,100.00,1.000
8,BUY,1.10192,1.10092,100.00,-100.00,-1.000
9,BUY,1.10083,1.09983,100.00,-100.00,-1.000
10,BUY,1.09983,1.09883,100.00,100.00,1.000
11,SELL,1.10083,1.10183,100.00,100.00,1.000
12,BUY,1.09955,1.09855,100.00,-100.00,-1.000
13,BUY,1.09855,1.09755,100.00,-100.00,-1.000
14,BUY,1.09733,1.09633,100.00,-100.00,-1.000
15,BUY,1.09624,1.09524,100.00,-100.00,-1.000
16,BUY,1.09525,1.09425,100.00,100.00,1.000
17,SELL,1.09625,1.09725,100.00,101.00,1.010
18,BUY,1.09524,1.09424,100.00,100.00,1.000
19,SELL,1.09624,1.09724,100.00,100.00,1.000
20,BUY,1.09524,1.09424,100.00,100.00,1.000
21,SELL,1.09624,1.09724,100.00,100.00,1.000
22,BUY,1.09523,1.09423,100.00,-100.00,-1.000
23,BUY,1.09424,1.09324,100.00,100.00,1.000
24,SELL,1.09524,1.09624,100.00,100.00,1.000
25,BUY,1.09424,1.09324,100.00,100.30,1.003
26,BUY,1.09502,1.09402,100.00,100.00,1.000
27,SELL,1.09619,1.09719,100.00,100.00,1.000
28,SELL,1.09541,1.09641,100.00,-100.00,-1.000
29,SELL,1.09640,1.09740,100.00,101.00,1.010
30,BUY,1.09539,1.09439,100.00,-100.00,-1.000
31,BUY,1.09439,1.09339,100.00,-100.00,-1.000
32,BUY,1.09320,1.09220,100.00,-100.00,-1.000
33,BUY,1.09196,1.09096,100.00,101.00,1.010
34,SELL,1.09297,1.09397,100.00,101.00,1.010
35,BUY,1.09196,1.09096,100.00,100.00,1.000
36,BUY,1.09252,1.09152,100.00,-101.00,-1.010
37,BUY,1.09152,1.09052,100.00,100.00,1.000
38,SELL,1.09255,1.09355,100.00,100.00,1.000
39,BUY,1.09155,1.09055,100.00,107.00,1.070
40,SELL,1.09262,1.09362,100.00,-102.00,-1.020
41,SELL,1.09348,1.09448,100.00,102.00,1.020
42,BUY,1.09246,1.09146,100.00,-101.00,-1.010
43,BUY,1.09134,1.09034,100.00,100.00,1.000
44,SELL,1.09234,1.09334,100.00,100.00,1.000
45,BUY,1.09122,1.09022,100.00,-101.00,-1.010
46,BUY,1.09022,1.08922,100.00,100.00,1.000
47,SELL,1.09136,1.09236,100.00,100.00,1.000
48,BUY,1.09061,1.08961,100.00,-100.00,-1.000
49,BUY,1.08963,1.08863,100.00,100.00,1.000
50,SELL,1.09063,1.09163,100.00,-100.00,-1.000
51,SELL,1.09160,1.09260,100.00,-100.00,-1.000
52,BUY,1.09201,1.09101,100.00,-129.10,-1.291
