id,dir,entry,stop,risk,pl,R
1,BUY,1.10468,1.10368,100.00,-105.00,-1.050
2,BUY,1.10430,1.10330,100.00,-100.00,-1.000
3,SELL,1.10323,1.10423,100.00,100.00,1.000
4,SELL,1.10219,1.10319,100.00,-101.00,-1.010
5,SELL,1.10309,1.10409,100.00,100.00,1.000
6,SELL,1.10192,1.10292,100.00,-100.00,-1.000
7,BUY,1.10292,1.10192,100.00,-100.00,-1.000
8,SELL,1.10192,1.10292,100.00,100.00,1.000
9,SELL,1.10083,1.10183,100.00,100.00,1.000
10,SELL,1.09983,1.10083,100.00,-100.00,-1.000
11,BUY,1.10083,1.09983,100.00,-100.00,-1.000
12,SELL,1.09955,1.10055,100.00,100.00,1.000
13,SELL,1.09855,1.09955,100.00,100.00,1.000
14,SELL,1.09733,1.09833,100.00,100.00,1.000
15,SELL,1.09623,1.09723,100.00,100.00,1.000
16,SELL,1.09523,1.09623,100.00,-101.00,-1.010
17,BUY,1.09624,1.09524,100.00,-100.00,-1.000
18,SELL,1.09524,1.09624,100.00,-101.00,-1.010
19,BUY,1.09625,1.09525,100.00,-100.00,-1.000
20,SELL,1.09525,1.09625,100.00,-100.00,-1.000
21,BUY,1.09625,1.09525,100.00,-100.00,-1.000
22,SELL,1.09523,1.09623,100.00,101.00,1.010
23,SELL,1.09422,1.09522,100.00,-100.00,-1.000
24,BUY,1.09522,1.09422,100.00,-100.00,-1.000
25,SELL,1.09422,1.09522,100.00,-135.00,-1.350
26,SELL,1.09382,1.09482,100.00,-100.00,-1.000
27,SELL,1.09464,1.09564,100.00,-100.00,-1.000
28,BUY,1.09585,1.09485,100.00,-100.00,-1.000
29,SELL,1.09482,1.09582,100.00,100.00,1.000
30,SELL,1.09382,1.09482,100.00,100.00,1.000
31,SELL,1.09282,1.09382,100.00,100.00,1.000
32,SELL,1.09182,1.09282,100.00,-100.00,-1.000
33,BUY,1.09290,1.09190,100.00,-101.00,-1.010
34,SELL,1.09189,1.09289,100.00,-100.00,-1.000
35,BUY,1.09289,1.09189,100.00,-100.00,-1.000
36,BUY,1.09226,1.09126,100.00,-101.00,-1.010
37,SELL,1.09125,1.09225,100.00,-100.00,-1.000
38,BUY,1.09225,1.09125,100.00,-101.00,-1.010
39,SELL,1.09124,1.09224,100.00,-101.00,-1.010
40,BUY,1.09362,1.09262,100.00,-100.00,-1.000
41,SELL,1.09262,1.09362,100.00,100.00,1.000
42,SELL,1.09161,1.09261,100.00,100.00,1.000
43,SELL,1.09061,1.09161,100.00,-101.00,-1.010
44,BUY,1.09162,1.09062,100.00,-100.00,-1.000
45,SELL,1.09059,1.09159,100.00,100.00,1.000
46,SELL,1.08957,1.09057,100.00,-100.00,-1.000
47,BUY,1.09057,1.08957,100.00,-100.00,-1.000
48,SELL,1.08957,1.09057,100.00,-100.00,-1.000
49,BUY,1.09057,1.08957,100.00,100.00,1.000
50,BUY,1.09159,1.09059,100.00,-105.10,-1.051
51,SELL,1.09171,1.09271,100.00,-100.00,-1.000
52,SELL,1.09222,1.09322,100.00,-100.00,-1.000
53,SELL,1.09284,1.09384,100.00,-101.00,-1.010
54,BUY,1.09419,1.09319,100.00,100.00,1.000
55,BUY,1.09519,1.09419,100.00,101.00,1.010
56,BUY,1.09623,1.09523,100.00,100.00,1.000
57,BUY,1.09723,1.09623,100.00,-100.00,-1.000
58,SELL,1.09623,1.09723,100.00,100.00,1.000
59,SELL,1.09510,1.09610,100.00,100.00,1.000
60,SELL,1.09409,1.09509,100.00,-100.00,-1.000
61,BUY,1.09509,1.09409,100.00,103.00,1.030
62,BUY,1.09613,1.09513,100.00,-100.00,-1.000
63,SELL,1.09504,1.09604,100.00,99.00,0.990
64,SELL,1.09339,1.09439,100.00,100.00,1.000
65,SELL,1.09233,1.09333,100.00,101.00,1.010
66,SELL,1.09132,1.09232,100.00,100.00,1.000
67,SELL,1.09032,1.09132,100.00,-101.00,-1.010
68,BUY,1.09133,1.09033,100.00,100.00,1.000
69,BUY,1.09233,1.09133,100.00,-100.00,-1.000
70,SELL,1.09113,1.09213,100.00,-100.00,-1.000
71,BUY,1.09218,1.09118,100.00,-124.00,-1.240
72,SELL,1.09094,1.09194,100.00,101.00,1.010
73,SELL,1.08910,1.09010,100.00,-100.00,-1.000
74,SELL,1.08934,1.09034,100.00,-101.00,-1.010
75,BUY,1.09035,1.08935,100.00,101.00,1.010
76,BUY,1.09136,1.09036,100.00,100.00,1.000
77,BUY,1.09237,1.09137,100.00,-100.00,-1.000
78,SELL,1.09137,1.09237,100.00,-100.00,-1.000
79,BUY,1.09249,1.09149,100.00,100.00,1.000
80,BUY,1.09360,1.09260,100.00,-100.00,-1.000
81,SELL,1.09249,1.09349,100.00,-103.00,-1.030
82,BUY,1.09405,1.09305,100.00,100.00,1.000
83,BUY,1.09505,1.09405,100.00,104.00,1.040
84,BUY,1.09610,1.09510,100.00,116.00,1.160
85,BUY,1.09894,1.09794,100.00,-100.00,-1.000
86,SELL,1.09794,1.09894,100.00,-101.00,-1.010
87,BUY,1.09895,1.09795,100.00,-100.00,-1.000
88,SELL,1.09785,1.09885,100.00,-100.00,-1.000
89,BUY,1.09885,1.09785,100.00,-101.00,-1.010
90,SELL,1.09784,1.09884,100.00,100.00,1.000
91,BUY,1.09724,1.09624,100.00,-101.00,-1.010
92,SELL,1.09623,1.09723,100.00,101.00,1.010
93,SELL,1.09519,1.09619,100.00,100.00,1.000
94,SELL,1.09418,1.09518,100.00,-100.00,-1.000
95,BUY,1.09518,1.09418,100.00,-100.00,-1.000
96,SELL,1.09400,1.09500,100.00,-103.00,-1.030
97,BUY,1.09489,1.09389,100.00,-100.00,-1.000
98,SELL,1.09389,1.09489,100.00,-100.00,-1.000
99,SELL,1.09479,1.09579,100.00,102.00,1.020
100,SELL,1.09320,1.09420,100.00,-100.00,-1.000
101,BUY,1.09447,1.09347,100.00,-100.00,-1.000
