entrada_t,min_ny,dir,nivel_tipo,nivel,entrada,stop,target,riesgo_p,rr,tendencia_h1,macd,rejblock,resultado,R_bruto,R_neto
2025.01.10 10:51,231,SELL,ASIA_H,1.03042,1.03045,1.03076,1.02811,3.1,7.55,contra,ok,no,BREAKEVEN,0.00,-0.27
2025.01.14 17:29,629,SELL,H1_H,1.02747,1.02699,1.02784,1.02394,8.5,3.59,plana,ok,si,PIERDE,-1.00,-1.10
2025.01.21 11:04,244,BUY,ASIA_L,1.03522,1.03589,1.03495,1.04341,9.4,8.00,plana,no,no,PIERDE,-1.00,-1.09
2025.02.24 10:36,216,BUY,ASIA_L,1.04718,1.04812,1.04693,1.05283,11.9,3.96,a_favor,ok,no,PIERDE,-1.00,-1.07
2025.03.25 10:35,215,BUY,PDL,1.07811,1.07874,1.07796,1.08084,7.8,2.69,contra,ok,no,BREAKEVEN,0.00,-0.11
2025.06.17 17:52,652,BUY,PDL,1.15211,1.15228,1.15183,1.16141,4.5,20.29,plana,ok,no,BREAKEVEN,0.00,-0.19
2025.09.12 10:28,208,SELL,PDH,1.17463,1.17442,1.17481,1.17206,3.9,6.05,contra,ok,no,GANA,6.05,5.84
2025.11.07 17:13,613,SELL,PDH,1.15775,1.15848,1.15859,1.15293,1.1,50.45,a_favor,ok,no,BREAKEVEN,0.00,-0.76
2025.12.09 17:38,638,BUY,PDL,1.16162,1.16291,1.16146,1.16571,14.5,1.93,a_favor,no,no,ABIERTA,0.00,-0.06
2025.12.23 17:12,612,BUY,H1_L,1.17684,1.17748,1.17669,1.18019,7.9,3.43,a_favor,ok,no,PIERDE,-1.00,-1.11
2026.02.10 16:50,590,SELL,PDH,1.19266,1.19133,1.19289,1.18159,15.6,6.24,contra,ok,no,BREAKEVEN,0.00,-0.05
2026.03.18 10:52,232,BUY,H1_L,1.15232,1.15305,1.15208,1.15491,9.7,1.92,plana,ok,no,GANA,1.92,1.83
2026.07.20 10:58,238,SELL,ASIA_H,1.14452,1.14446,1.14471,1.14244,2.5,8.08,a_favor,ok,no,ABIERTA,0.00,-0.34
