#,fecha_hora_servidor,hora_ET,hora_grafico_trader,dir,nivel_tipo,nivel,rb_zona_desde,rb_zona_hasta,mecha_pct,mtf_ok,retest_min,inducement,idm_precio,ES_RB?,ES_IDM?
1,2026.04.01 17:05,2026.04.01 10:05,2026.04.01 09:05,COMPRA,M5_L,1.16060,1.16048,1.16071,79.3,si,5,no_habia,-,,
2,2026.04.02 10:25,2026.04.02 03:25,2026.04.02 02:25,VENTA,M5_H,1.15367,1.15353,1.15378,61.0,si,51,tomado,1.15351,,
3,2026.04.02 15:50,2026.04.02 08:50,2026.04.02 07:50,VENTA,M5_H,1.15290,1.15287,1.15302,75.0,si,13,no_habia,-,,
4,2026.04.02 16:53,2026.04.02 09:53,2026.04.02 08:53,VENTA,M5_H,1.15313,1.15307,1.15325,60.0,si,5,no_habia,-,,
5,2026.04.02 20:58,2026.04.02 13:58,2026.04.02 12:58,COMPRA,M5_L,1.15366,1.15351,1.15373,91.7,si,4,no_habia,-,,
6,2026.04.03 04:16,2026.04.02 21:16,2026.04.02 20:16,COMPRA,M5_L,1.15380,1.15365,1.15380,100.0,si,9,no_habia,-,,
7,2026.04.03 17:16,2026.04.03 10:16,2026.04.03 09:16,COMPRA,M5_L,1.15270,1.15255,1.15268,68.4,si,3,no_habia,-,,
8,2026.04.03 19:20,2026.04.03 12:20,2026.04.03 11:20,COMPRA,M5_L,1.15198,1.15183,1.15198,75.0,si,14,no_habia,-,,
9,2026.04.06 09:51,2026.04.06 02:51,2026.04.06 01:51,VENTA,H1_H,1.15312,1.15308,1.15323,60.0,si,6,no_habia,-,,
10,2026.04.06 13:32,2026.04.06 06:32,2026.04.06 05:32,COMPRA,M5_L,1.15469,1.15458,1.15472,93.3,si,14,tomado,1.15474,,
11,2026.04.06 17:00,2026.04.06 10:00,2026.04.06 09:00,VENTA,M5_H,1.15630,1.15616,1.15661,72.6,si,17,no_habia,-,,
12,2026.04.06 21:11,2026.04.06 14:11,2026.04.06 13:11,VENTA,M5_H,1.15489,1.15489,1.15511,50.0,si,24,no_habia,-,,
13,2026.04.06 22:25,2026.04.06 15:25,2026.04.06 14:25,COMPRA,M5_L,1.15424,1.15411,1.15420,56.2,si,6,no_habia,-,,
14,2026.04.07 04:00,2026.04.06 21:00,2026.04.06 20:00,COMPRA,M5_L,1.15370,1.15357,1.15373,61.5,si,9,no_habia,-,,
15,2026.04.07 04:14,2026.04.06 21:14,2026.04.06 20:14,COMPRA,H1_L,1.15355,1.15342,1.15357,93.7,si,6,no_habia,-,,
16,2026.04.07 17:07,2026.04.07 10:07,2026.04.07 09:07,VENTA,M5_H,1.15649,1.15640,1.15666,68.4,si,3,no_habia,-,,
17,2026.04.07 23:15,2026.04.07 16:15,2026.04.07 15:15,VENTA,M5_H,1.16016,1.16016,1.16036,52.6,si,12,no_habia,-,,
18,2026.04.08 03:19,2026.04.07 20:19,2026.04.07 19:19,COMPRA,M5_L,1.16714,1.16700,1.16718,75.0,si,13,tomado,1.16729,,
19,2026.04.08 16:38,2026.04.08 09:38,2026.04.08 08:38,COMPRA,M5_L,1.16881,1.16870,1.16899,52.7,si,5,no_habia,-,,
20,2026.04.08 18:10,2026.04.08 11:10,2026.04.08 10:10,COMPRA,M5_L,1.16870,1.16851,1.16870,70.4,si,20,tomado,1.16909,,
21,2026.04.08 19:43,2026.04.08 12:43,2026.04.08 11:43,COMPRA,M5_L,1.16773,1.16762,1.16785,82.1,si,23,tomado,1.16799,,
22,2026.04.09 00:54,2026.04.08 17:54,2026.04.08 16:54,VENTA,M5_H,1.16646,1.16650,1.16665,71.4,si,9,no_habia,-,,
23,2026.04.09 02:55,2026.04.08 19:55,2026.04.08 18:55,COMPRA,M5_L,1.16579,1.16567,1.16579,70.6,si,6,no_habia,-,,
24,2026.04.09 05:00,2026.04.08 22:00,2026.04.08 21:00,VENTA,M5_H,1.16632,1.16617,1.16644,62.8,si,7,no_habia,-,,
25,2026.04.09 17:35,2026.04.09 10:35,2026.04.09 09:35,COMPRA,M5_L,1.16786,1.16768,1.16787,65.5,si,34,tomado,1.16790,,
26,2026.04.09 21:04,2026.04.09 14:04,2026.04.09 13:04,COMPRA,M5_L,1.17072,1.17061,1.17082,58.3,si,4,no_habia,-,,
27,2026.04.10 09:17,2026.04.10 02:17,2026.04.10 01:17,COMPRA,M5_L,1.16857,1.16846,1.16870,96.0,si,21,no_habia,-,,
28,2026.04.10 09:57,2026.04.10 02:57,2026.04.10 01:57,COMPRA,M5_L,1.16852,1.16840,1.16857,63.0,si,10,no_habia,-,,
29,2026.04.10 10:33,2026.04.10 03:33,2026.04.10 02:33,COMPRA,ASIA_L,1.16843,1.16832,1.16844,85.7,si,9,no_habia,-,,
30,2026.04.10 14:35,2026.04.10 07:35,2026.04.10 06:35,COMPRA,M5_L,1.17114,1.17100,1.17112,63.2,si,4,no_habia,-,,
31,2026.04.14 09:01,2026.04.14 02:01,2026.04.14 01:01,VENTA,M5_H,1.17691,1.17685,1.17709,53.3,si,44,tomado,1.17661,,
32,2026.04.15 03:04,2026.04.14 20:04,2026.04.14 19:04,COMPRA,M5_L,1.17931,1.17916,1.17931,68.2,si,6,no_habia,-,,
33,2026.04.15 09:42,2026.04.15 02:42,2026.04.15 01:42,COMPRA,M5_L,1.17860,1.17849,1.17863,66.7,si,21,no_habia,-,,
34,2026.04.15 10:06,2026.04.15 03:06,2026.04.15 02:06,COMPRA,M5_L,1.17857,1.17847,1.17865,69.2,si,35,tomado,1.17877,,
35,2026.04.15 15:56,2026.04.15 08:56,2026.04.15 07:56,VENTA,M5_H,1.17913,1.17898,1.17927,64.4,si,7,no_habia,-,,
36,2026.04.15 16:45,2026.04.15 09:45,2026.04.15 08:45,COMPRA,M5_L,1.17846,1.17835,1.17847,52.2,si,7,no_habia,-,,
37,2026.04.16 11:17,2026.04.16 04:17,2026.04.16 03:17,COMPRA,M5_L,1.17835,1.17824,1.17841,51.5,si,51,tomado,1.17843,,
38,2026.04.16 13:23,2026.04.16 06:23,2026.04.16 05:23,COMPRA,M5_L,1.17751,1.17737,1.17746,56.2,si,4,no_habia,-,,
39,2026.04.17 03:01,2026.04.16 20:01,2026.04.16 19:01,COMPRA,M5_L,1.17775,1.17763,1.17777,66.7,si,4,no_habia,-,,
